2025,2024,Institution,Country / Territory,Academic,AR rank,Employer,ER Rank,Citations,CPP Rank,H,H Rank,IRN,IRN Rank,Score
1,1,University of Oxford,United Kingdom,95.8,2,96.5,4,90.6,13=,93.4,11=,,,94.0
2,4,Stanford University,United States of America,94.8,3,94.7,7,89.8,25=,92.1,17=,,,92.9
3,2,University of Cambridge,United Kingdom,94.7,4,94.6,8,89.4,30=,91.4,20,,,92.5
4,3,Johns Hopkins University,United States of America,92.6,6,92.2,10,88.2,51+,96.3,4=,,,92.4
=5,9,Duke University,United States of America,92.1,7,85.4,23,89.7,28,93.7,9=,,,91.2
=5,7,McGill University,Canada,100.0,1,79.3,41,85.6,51+,87.5,38=,,,91.2
=5,11,University of Toronto,Canada,87.9,16,95.4,6,88.5,41=,97.4,3,,,91.2
8,5,Columbia University,United States of America,94.0,5,68.2,51+,92.0,7,91.1,21,,,90.2
9,=13,"University of California, Los Angeles (UCLA)",United States of America,90.0,10=,88.7,15,88.4,44=,92.7,16,,,90.1
10,10,University of British Columbia,Canada,91.0,9,88.9,13=,84.9,51+,93.0,14=,,,89.8
11,8,UCL,United Kingdom,86.6,18,85.7,20=,88.3,48=,94.6,7,,,88.9
12,=13,University of Copenhagen,Denmark,88.3,14,61.7,51+,88.7,38=,100.0,1,,,88.7
13,15,University of Glasgow,United Kingdom,85.4,19,82.4,32,95.8,2,86.4,46=,,,88.0
14,35,Peking University,China (Mainland),87.0,17,98.4,3,84.3,51+,87.9,36=,,,87.7
15,16,National University of Singapore (NUS),Singapore,84.7,21,98.8,2,92.5,5,82.2,51+,,,87.4
16,26,Imperial College London,United Kingdom,77.0,45,86.2,19,93.5,3,97.9,2,,,87.3
17,21,University of Pennsylvania,United States of America,82.5,28,82.8,31,89.2,32,94.3,8,,,87.2
18,25,"University of California, San Diego (UCSD)",United States of America,82.4,29,72.8,51+,90.8,12,96.3,4=,,,87.0
19,27,Washington University in St. Louis,United States of America,89.6,12,53.3,51+,91.5,9,90.8,22,,,86.7
20,6,The University of Sydney,Australia,83.4,23=,100.0,1,85.9,51+,87.2,40=,,,86.6
21,43,Zhejiang University,China (Mainland),82.9,25,81.3,37,86.2,51+,93.4,11=,,,86.2
