2025,2024,Institution,Country / Territory,Academic,AR rank,Employer,ER Rank,Citations,CPP Rank,H,H Rank,IRN,IRN Rank,Score
1,1,The Bartlett School of Architecture  | UCL,United Kingdom,100.0,1,92.6,7,90.6,50=,94.2,5,,,97.7
2,2,Massachusetts Institute of Technology (MIT),United States of America,96.8,2,96.8,3,93.4,12,89.0,21=,,,95.7
3,3,Delft University of Technology,Netherlands,93.4,3,88.4,14,88.0,51+,97.1,3,,,92.7
4,4,ETH Zurich - Swiss Federal Institute of Technology,Switzerland,92.6,4,92.1,8,91.8,34=,90.1,14=,,,92.2
5,5,Manchester School of Architecture,United Kingdom,87.9,6,98.9,2,92.4,22=,86.8,33,,,89.3
6,6,Harvard University,United States of America,87.2,7,100.0,1,87.6,51+,79.8,51+,,,87.8
=7,7,Politecnico di Milano,Italy,89.4,5,88.2,16,77.1,51+,86.2,35=,,,87.7
=7,8,Tsinghua University,China (Mainland),85.5,9,89.9,10,91.7,37,97.3,2,,,87.7
9,5,National University of Singapore (NUS),Singapore,85.6,8,90.7,9,93.5,10=,90.1,14=,,,87.4
10,9,"University of California, Berkeley (UCB)",United States of America,84.3,11,89.3,12,94.2,3,90.4,12=,,,86.4
11,13,Tongji University,China (Mainland),84.4,10,79.7,36,82.9,51+,94.4,4,,,84.8
12,10,University of Cambridge,United Kingdom,81.6,12,96.1,4,88.9,51+,84.5,51+,,,84.1
13,12,The University of Hong Kong,"Hong Kong SAR, China",80.8,14,80.0,34=,91.8,34=,94.0,6,,,83.1
14,11,EPFL,Switzerland,81.4,13,83.9,22,91.2,41=,81.5,51+,,,82.6
15,15,The University of Tokyo,Japan,80.5,15,85.2,20,81.7,51+,79.8,51+,,,81.0
16,16,Columbia University,United States of America,79.3,16,78.7,40,89.4,51+,76.6,51+,,,80.0
17,14,The Hong Kong Polytechnic University,"Hong Kong SAR, China",76.3,20=,69.4,51+,93.8,5=,100.0,1,,,79.7
18,23,Georgia Institute of Technology,United States of America,77.3,17,69.3,51+,89.5,51+,85.8,39=,,,78.6
19,19,Cornell University,United States of America,76.7,19,82.0,29=,87.5,51+,77.6,51+,,,78.4
20,=21,Politecnico di Torino,Italy,76.9,18,77.9,45,82.3,51+,82.3,51+,,,78.1
21,18,RMIT University,Australia,75.4,24,73.2,51+,90.6,50=,88.7,23=,,,78.0
22,48,Peking University,China (Mainland),72.6,39,85.5,19,93.5,10=,89.3,19=,,,77.7
23,35,The University of New South Wales (UNSW Sydney),Australia,73.4,33,81.1,31,89.5,51+,90.1,14=,,,77.5
=24,=44,Shanghai Jiao Tong University,China (Mainland),72.2,42,83.3,24,93.3,13=,92.0,10,,,77.4
=24,33,Stanford University,United States of America,73.2,35=,93.0,6,91.5,39,76.6,51+,,,77.4
26,=24,The University of Melbourne,Australia,73.7,31=,82.4,28,87.5,51+,87.1,29=,,,77.3
=27,=21,Technische Universität Berlin (TU Berlin),Germany,76.3,20=,68.0,51+,87.6,51+,82.6,51+,,,77.2
