2025,2024,Institution,Country / Territory,Academic,AR rank,Employer,ER Rank,Citations,CPP Rank,H,H Rank,IRN,IRN Rank,Score
1,1,Royal College of Art,United Kingdom,100.0,1,74.0,51+,,,,,,,97.4
2,2,University of the Arts London,United Kingdom,95.4,2,78.9,39,,,,,,,93.8
3,3,Parsons School of Design at The New School,United States of America,94.3,4,71.8,51+,,,,,,,92.1
4,4,Rhode Island School of Design (RISD),United States of America,95.1,3,60.4,51+,,,,,,,91.6
5,5,Massachusetts Institute of Technology (MIT),United States of America,87.7,5,100.0,1,,,,,,,88.9
6,7,Politecnico di Milano,Italy,84.4,9,84.3,20=,,,,,,,84.4
7,6,Pratt Institute,United States of America,87.6,6,51.3,51+,,,,,,,84.0
8,8,Aalto University,Finland,85.2,7,60.8,51+,,,,,,,82.8
9,10,School of the Art Institute of Chicago (SAIC),United States of America,84.5,8,63.2,51+,,,,,,,82.4
10,9,Design Academy Eindhoven,Netherlands,84.0,10,57.9,51+,,,,,,,81.4
11,12,Delft University of Technology,Netherlands,79.9,13,80.3,35=,,,,,,,79.9
12,13,Glasgow School of Art (GSA),United Kingdom,80.1,12,64.4,51+,,,,,,,78.5
13,15,Savannah College of Art and Design,United States of America,81.4,11,51.3,51+,,,,,,,78.4
=14,14,Art Center College of Design,United States of America,79.6,14,56.8,51+,,,,,,,77.3
=14,24,Tsinghua University,China (Mainland),75.7,19,91.7,6,,,,,,,77.3
16,=27,Yale University,United States of America,75.6,20,89.7,12,,,,,,,77.0
17,=25,Stanford University,United States of America,74.6,22=,97.8,2,,,,,,,76.9
18,11,Tongji University,China (Mainland),78.2,16,64.5,51+,,,,,,,76.8
19,=33,"Nanyang Technological University, Singapore (NTU)",Singapore,74.6,22=,90.8,7=,,,,,,,76.2
20,16,Carnegie Mellon University,United States of America,75.9,18,78.0,43,,,,,,,76.1
21,17,China Central Academy of Fine Arts,China (Mainland),79.4,15,45.4,51+,,,,,,,76.0
=22,40,New York University (NYU),United States of America,72.4,29,84.3,20=,,,,,,,73.6
=22,19,The Hong Kong Polytechnic University,"Hong Kong SAR, China",74.0,24,70.1,51+,,,,,,,73.6
24,51-100,"University of California, Los Angeles (UCLA)",United States of America,71.6,31,89.5,13,,,,,,,73.4
25,20,School of Visual Arts (SVA),United States of America,76.2,17,44.7,51+,,,,,,,73.1
26,18,RMIT University,Australia,73.5,26,68.6,51+,,,,,,,73.0
27,=25,University of Oxford,United Kingdom,69.8,38=,97.7,3,,,,,,,72.6
28,=46,KAIST - Korea Advanced Institute of Science & Technology,Republic of Korea,71.9,30,77.8,45,,,,,,,72.5
29,51-100,Peking University,China (Mainland),70.2,37,90.7,9,,,,,,,72.3
=30,=33,National University of Singapore (NUS),Singapore,69.7,40=,92.8,5,,,,,,,72.0
=30,49,The University of Tokyo,Japan,70.5,35,85.0,17,,,,,,,72.0
32,,University of Cambridge,United Kingdom,69.1,44=,97.5,4,,,,,,,71.9
33,23,California Institute of the Arts,United States of America,73.2,27,56.5,51+,,,,,,,71.5
=34,37,Seoul National University,Republic of Korea,70.3,36,80.4,33=,,,,,,,71.3
=34,22,The Royal Danish Academy of Fine Arts - The School of Design,Denmark,74.8,21,40.0,51+,,,,,,,71.3
36,29,Emily Carr University of Art and Design,Canada,73.8,25,48.0,51+,,,,,,,71.2
37,21,"Goldsmiths, University of London",United Kingdom,72.6,28,53.9,51+,,,,,,,70.7
38,=38,King Abdulaziz University (KAU),Saudi Arabia,69.5,42,68.3,51+,,,,,,,69.4
39,32,Loughborough University,United Kingdom,69.2,43,68.5,51+,,,,,,,69.1
40,50,Tecnológico de Monterrey,Mexico,66.7,51+,86.8,14,,,,,,,68.7
41,30,"Konstfack University College of Arts, Crafts and Design",Sweden,70.8,34,45.6,51+,,,,,,,68.3
42,35,Universität der Knste Berlin,Germany,69.8,38=,53.2,51+,,,,,,,68.1
43,=27,Universidad Nacional Autónoma de México (UNAM),Mexico,66.1,51+,83.5,24=,,,,,,,67.8
=44,51-100,Hongik University,Republic of Korea,69.1,44=,54.1,51+,,,,,,,67.6
=44,43,UCL,United Kingdom,66.4,51+,77.9,44,,,,,,,67.6
=46,42,Eindhoven University of Technology,Netherlands,67.3,48,66.5,51+,,,,,,,67.2
=46,31,Zurich University of the Arts (ZHdK),Switzerland,71.4,32,29.4,51+,,,,,,,67.2
48,=44,Columbia University,United States of America,65.5,51+,81.0,29,,,,,,,67.1
49,41,Ecole Nationale Supérieure des Arts Décoratifs (ENSAD),France,69.7,40=,38.6,51+,,,,,,,66.6
50,51-100,Cornell University,United States of America,64.9,51+,80.6,31=,,,,,,,66.5
51-100,101-150,Academy of Fine Arts Vienna,Austria,64.1,51+,57.6,51+,,,,,,,
