2025,2024,Institution,Country / Territory,Academic,AR rank,Employer,ER Rank,Citations,CPP Rank,H,H Rank,IRN,IRN Rank,Score
1,1,Sapienza University of Rome,Italy,100.0,1,91.0,14,,,,,,,99.1
2,10,Peking University,China (Mainland),99.5,2,88.4,18=,,,,,,,98.4
3,12,University of St Andrews,United Kingdom,94.3,3,79.6,43,,,,,,,92.8
4,2,University of Oxford,United Kingdom,92.1,5,96.9,5,,,,,,,92.6
5,3,University of Cambridge,United Kingdom,91.6,6,95.9,7,,,,,,,92.0
6,13,Leiden University,Netherlands,92.8,4,61.7,51+,,,,,,,89.7
7,4,Ruprecht-Karls-Universität Heidelberg,Germany,91.3,7,73.2,51+,,,,,,,89.5
8,5,Scuola Normale Superiore di Pisa,Italy,89.2,8,81.4,38,,,,,,,88.4
9,6,Durham University,United Kingdom,89.1,9,76.1,51+,,,,,,,87.8
10,7,Humboldt-Universität zu Berlin,Germany,88.6,10,77.4,51+,,,,,,,87.5
=11,9,Harvard University,United States of America,85.9,14,99.3,2=,,,,,,,87.2
=11,=22,KU Leuven,Belgium,88.4,11,76.4,51+,,,,,,,87.2
13,11,King's College London,United Kingdom,86.8,13,79.9,42,,,,,,,86.1
14,8,Ludwig-Maximilians-Universität München,Germany,87.2,12,62.2,51+,,,,,,,84.7
15,17,Yale University,United States of America,82.4,20,90.5,15,,,,,,,83.2
16,=36,Nanjing University,China (Mainland),84.7,15,63.7,51+,,,,,,,82.6
17,21,UCL,United Kingdom,81.7,22,84.9,25,,,,,,,82.0
18,16,Princeton University,United States of America,83.0,18,70.1,51+,,,,,,,81.7
19,18,National Taiwan University (NTU),Taiwan,83.1,17,65.0,51+,,,,,,,81.3
20,14,"University of California, Berkeley (UCB)",United States of America,82.2,21,71.6,51+,,,,,,,81.1
21,20,Kyoto University,Japan,83.2,16,59.5,51+,,,,,,,80.8
=22,50,Fudan University,China (Mainland),78.1,28,99.3,2=,,,,,,,80.2
=22,15,Université Paris 1 Panthéon-Sorbonne,France,78.0,29=,100.0,1,,,,,,,80.2
24,26,Freie Universitaet Berlin,Germany,78.6,27,91.3,12,,,,,,,79.9
=25,19,Alma Mater Studiorum - University of Bologna,Italy,77.7,32,96.4,6,,,,,,,79.6
=25,46,University of Geneva,Switzerland,79.8,23,77.8,51+,,,,,,,79.6
27,29,Université catholique de Louvain (UCLouvain),Belgium,78.8,26,82.1,32,,,,,,,79.1
28,=27,The University of Edinburgh,United Kingdom,79.5,24,74.2,51+,,,,,,,79.0
29,=22,University of Pisa,Italy,82.7,19,31.9,51+,,,,,,,77.6
30,51-100,Beijing Normal University,China (Mainland),77.2,33,78.8,47,,,,,,,77.4
31,51-100,National Chung Cheng University,Taiwan,78.9,25,63.1,51+,,,,,,,77.3
32,30,National Chengchi University,Taiwan,78.0,29=,69.7,51+,,,,,,,77.2
33,=34,The University of Sydney,Australia,76.8,35,78.1,50,,,,,,,76.9
34,=24,Sorbonne University,France,75.1,37,83.7,29,,,,,,,76.0
35,=27,University of Cologne,Germany,77.8,31,58.0,51+,,,,,,,75.8
36,=40,University of Vienna,Austria,73.9,38=,90.3,16,,,,,,,75.5
=37,,Sungkyunkwan University (SKKU),Republic of Korea,77.0,34,57.6,51+,,,,,,,75.1
=37,=31,Università Cattolica del Sacro Cuore,Italy,73.5,44,89.9,17,,,,,,,75.1
39,45,Ca' Foscari University of Venice,Italy,73.8,40=,83.3,30,,,,,,,74.8
40,51-100,The Chinese University of Hong Kong (CUHK),"Hong Kong SAR, China",73.7,42,83.8,27=,,,,,,,74.7
41,42,The University of Tokyo,Japan,72.7,49,88.1,20,,,,,,,74.2
=42,=31,Stanford University,United States of America,71.7,51+,95.1,8,,,,,,,74.0
=42,51-100,University of Toronto,Canada,73.4,45,79.1,46,,,,,,,74.0
44,=24,Ghent University,Belgium,72.6,50,81.1,39,,,,,,,73.5
