2025,2024,Institution,Country / Territory,Academic,AR rank,Employer,ER Rank,Citations,CPP Rank,H,H Rank,IRN,IRN Rank,Score
1,1,Massachusetts Institute of Technology (MIT),United States of America,96.9,2,100.0,1,94.8,8,100.0,1=,,,98.0
2,2,Carnegie Mellon University,United States of America,100.0,1,87.0,11,95.9,4,100.0,1=,,,95.5
3,4,University of Oxford,United Kingdom,87.7,5,95.2,4,98.5,2,95.2,9,,,92.7
4,3,"University of California, Berkeley (UCB)",United States of America,89.5,4,90.8,6,98.3,3,98.9,5,,,92.6
5,8,"Nanyang Technological University, Singapore (NTU)",Singapore,90.4,3,89.0,9,94.2,12=,99.8,3,,,92.0
6,5,Harvard University,United States of America,85.9,8,98.2,2,92.3,17,94.4,12,,,91.8
7,6,National University of Singapore (NUS),Singapore,82.7,9,94.0,5,93.8,14,98.4,6,,,90.1
8,7,ETH Zurich - Swiss Federal Institute of Technology,Switzerland,86.0,6=,89.9,7,93.1,15,94.8,11,,,89.6
9,,Yale University,United States of America,86.0,6=,89.2,8,83.4,51+,78.2,51+,,,85.4
10,9,University of Toronto,Canada,81.3,11,86.2,13,89.5,31,90.2,21=,,,85.3
11,11,EPFL,Switzerland,82.3,10,87.5,10,87.7,42=,85.3,39=,,,85.1
12,19,Imperial College London,United Kingdom,80.7,13,85.5,14,89.2,32=,91.1,18=,,,85.0
=13,17,New York University (NYU),United States of America,80.9,12,79.9,24,89.8,29=,87.1,34=,,,82.9
=13,12,University of Washington,United States of America,80.4,14,75.4,49,95.8,5,91.6,17,,,82.9
=15,16,Cornell University,United States of America,76.4,25,81.6,17,93.0,16,89.0,26,,,82.3
=15,13,Georgia Institute of Technology,United States of America,78.9,18,78.7,27,88.3,39=,92.5,16,,,82.3
17,10,The Hong Kong University of Science and Technology,"Hong Kong SAR, China",77.9,20,76.1,48,95.1,7,93.1,14,,,82.2
18,25,The University of Hong Kong,"Hong Kong SAR, China",72.0,33,86.6,12,91.3,21,88.1,31=,,,81.7
19,=20,The Chinese University of Hong Kong (CUHK),"Hong Kong SAR, China",73.4,30,73.2,51+,98.6,1,98.1,7,,,80.8
20,=35,Technical University of Munich,Germany,79.4,15=,77.8,33=,83.8,51+,86.6,36,,,80.7
=21,18,UCL,United Kingdom,78.3,19,74.9,51+,90.3,26,88.1,31=,,,80.6
=21,14,University of Illinois at Urbana-Champaign,United States of America,76.8,22,76.6,45,89.2,32=,89.9,23,,,80.6
23,42,University of British Columbia,Canada,75.2,26,81.1,18,88.3,39=,85.1,41,,,80.4
24,=21,The University of Edinburgh,United Kingdom,79.1,17,73.0,51+,89.1,34,88.0,33,,,80.1
25,24,Seoul National University,Republic of Korea,76.6,24,78.1,31,84.7,51+,86.2,37,,,79.7
26,23,Politecnico di Milano,Italy,76.7,23,80.0,23,81.7,51+,83.7,49,,,79.5
27,20,University of Pennsylvania,United States of America,73.9,28,78.6,28,88.2,41,84.9,42=,,,79.1
=28,31,"University of California, San Diego (UCSD)",United States of America,73.7,29,74.7,51+,90.5,25,88.5,28=,,,78.7
=28,35,University of Chicago,United States of America,74.3,27,82.3,16,85.4,51+,76.8,51+,,,78.7
30,,McGill University,Canada,69.9,43,80.1,22,87.6,44,84.9,42=,,,77.9
31,,Delft University of Technology,Netherlands,77.5,21,73.4,51+,81.7,51+,83.1,51+,,,77.7
32,,University of Michigan-Ann Arbor,United States of America,69.5,45=,76.9,42=,87.2,47,90.2,21=,,,77.5
33,26,The University of Melbourne,Australia,71.5,36=,78.8,26,85.5,51+,81.8,51+,,,77.3
=34,=21,California Institute of Technology (Caltech),United States of America,69.5,45=,84.3,15,83.6,51+,76.5,51+,,,77.1
=34,=40,University of Waterloo,Canada,73.2,31,75.1,51+,85.3,51+,83.5,50,,,77.1
36,40,University of Technology Sydney,Australia,68.7,50=,67.6,51+,95.5,6,94.9,10,,,76.3
37,51-70,Université de Montréal,Canada,69.1,47,72.3,51+,90.7,23,88.3,30,,,76.2
38,27,Johns Hopkins University,United States of America,66.5,51+,73.6,51+,94.2,12=,88.5,28=,,,76.1
39,,National Taiwan University (NTU),Taiwan,70.4,40=,77.8,33=,81.7,51+,80.0,51+,,,75.8
=40,34,Monash University,Australia,66.3,51+,75.0,51+,91.0,22,87.1,34=,,,75.7
=40,32,The Hong Kong Polytechnic University,"Hong Kong SAR, China",71.8,34,66.0,51+,91.9,19,89.6,24,,,75.7
42,,Korea University,Republic of Korea,69.8,44,73.0,51+,88.8,36,83.3,51+,,,75.6
43,28,Pohang University of Science And Technology (POSTECH),Republic of Korea,71.1,39,76.8,44,84.0,51+,73.1,51+,,,75.0
44,38,Shanghai Jiao Tong University,China (Mainland),59.1,51+,77.4,36=,86.4,50=,99.2,4,,,74.7
45,39,City University of Hong Kong,"Hong Kong SAR, China",70.4,40=,65.5,51+,90.1,27,88.8,27,,,74.6
46,51-70,King's College London,United Kingdom,68.7,50=,73.5,51+,86.4,50=,79.2,51+,,,74.4
=47,=46,Harbin Institute of Technology,China (Mainland),63.6,51+,72.1,51+,85.2,51+,96.4,8,,,74.3
=47,29,Universiti Malaya (UM),Malaysia,68.8,49,71.0,51+,90.6,24,79.0,51+,,,74.3
=49,=49,Fudan University,China (Mainland),61.3,51+,77.4,36=,85.5,51+,90.8,20,,,74.2
=49,51-70,Université PSL,France,65.7,51+,78.0,32,84.1,51+,79.2,51+,,,74.2
51-100,41,Aalto University,Finland,79.4,15=,56.9,51+,86.6,48=,81.4,51+,,,
51-100,,Ajman University,United Arab Emirates,64.8,51+,77.1,39,76.8,51+,55.9,51+,,,
51-100,,Arizona State University,United States of America,55.6,51+,68.1,51+,84.7,51+,85.3,39=,,,
51-100,51-70,Brown University,United States of America,60.8,51+,67.9,51+,94.3,10=,77.4,51+,,,
51-100,,Cairo University,Egypt,55.1,51+,66.4,51+,83.4,51+,79.5,51+,,,
51-100,,Eindhoven University of Technology,Netherlands,72.2,32,61.9,51+,77.8,51+,75.9,51+,,,
51-100,,IMT Atlantique,France,53.2,51+,78.5,29,78.4,51+,65.5,51+,,,
