2025,2024,Institution,Country / Territory,Academic,AR rank,Employer,ER Rank,Citations,CPP Rank,H,H Rank,IRN,IRN Rank,Score
1,1,ETH Zurich - Swiss Federal Institute of Technology,Switzerland,95.3,8,98.1,4,93.8,12,96.7,3,69.9,36=,93.0
2,5,Massachusetts Institute of Technology (MIT),United States of America,100.0,1,100.0,1,89.0,51+,91.4,18,65.8,51+,92.7
3,=2,University of Oxford,United Kingdom,95.6,6,98.3,3,91.0,43=,91.2,19,76.7,12,92.2
4,=2,University of Cambridge,United Kingdom,97.4,3,98.0,5,90.2,51+,89.5,29=,70.0,34=,91.7
5,=2,Harvard University,United States of America,95.4,7,99.7,2,90.8,46=,93.0,15,66.9,50=,91.6
6,7,California Institute of Technology (Caltech),United States of America,94.1,9,91.7,8,87.9,51+,95.7,5,76.8,11,91.2
7,8,Stanford University,United States of America,97.9,2,97.4,6,89.6,51+,88.3,37=,59.6,51+,90.4
8,6,"University of California, Berkeley (UCB)",United States of America,96.1,4,92.9,7,88.5,51+,89.3,32=,69.7,39,90.3
9,9,Columbia University,United States of America,92.8,12,75.3,51+,96.4,6,94.5,8=,72.7,25,90.1
10,10,University of Washington,United States of America,93.7,11,66.9,51+,93.0,22=,94.1,12,66.9,50=,88.3
11,=35,Tsinghua University,China (Mainland),89.0,19,87.6,17,90.7,48,94.8,7,60.3,51+,87.5
=12,13,Princeton University,United States of America,90.0,14,86.6,19,92.6,26,90.1,23=,60.7,51+,87.3
=12,11,The University of Tokyo,Japan,94.0,10,89.4,12=,81.7,51+,88.0,39=,68.6,44,87.3
14,=35,Peking University,China (Mainland),88.8,20=,87.3,18,89.9,51+,93.3,14,59.9,51+,86.9
15,=22,Delft University of Technology,Netherlands,90.2,13,87.9,15,83.4,51+,86.0,50=,73.6,20=,86.1
16,14,University of Colorado Boulder,United States of America,89.7,16,68.6,51+,89.3,51+,94.4,11,65.3,51+,86.0
17,21,Imperial College London,United Kingdom,88.8,20=,90.7,10,87.8,51+,84.9,51+,67.0,49,85.8
=18,20,"University of California, Los Angeles (UCLA)",United States of America,89.9,15,82.3,35,88.0,51+,86.8,45,62.6,51+,85.4
=18,16,University of Texas at Austin,United States of America,88.0,23,79.6,50,86.1,51+,89.7,27=,70.5,32,85.4
20,=17,University of Leeds,United Kingdom,84.9,32,71.0,51+,93.2,18=,89.0,34,78.0,10,85.3
21,12,The Australian National University,Australia,89.3,17=,83.8,30,87.9,51+,84.7,51+,65.5,51+,85.2
22,=22,"University of California, San Diego (UCSD)",United States of America,89.3,17=,72.4,51+,91.3,36=,89.3,32=,60.2,51+,85.1
23,=17,UCL,United Kingdom,83.1,37,80.7,43,87.5,51+,88.0,39=,82.2,8,84.6
24,32,Yale University,United States of America,87.4,24,88.8,14,92.5,27,83.7,51+,54.5,51+,84.5
=25,15,University of British Columbia,Canada,88.7,22,85.4,22=,86.7,51+,82.9,51+,62.2,51+,84.2
=25,=28,University of Toronto,Canada,86.5,27,86.3,21,88.7,51+,86.2,48=,59.7,51+,84.2
27,27,Utrecht University,Netherlands,85.9,30,71.9,51+,92.2,28=,88.0,39=,62.8,51+,83.9
28,51-100,Nanjing University,China (Mainland),84.1,33,77.5,51+,89.3,51+,93.4,13,54.8,51+,83.4
=29,=28,Colorado School of Mines,United States of America,95.7,5,83.2,33,82.9,51+,77.4,51+,45.7,51+,83.2
=29,51-100,The University of Hong Kong,"Hong Kong SAR, China",86.6,26,80.1,47,92.8,24,83.9,51+,51.7,51+,83.2
=29,50,The University of Melbourne,Australia,86.1,29,84.0,28,89.0,51+,84.9,51+,55.9,51+,83.2
32,=24,University of Bristol,United Kingdom,87.3,25,69.9,51+,90.0,51+,84.1,51+,64.1,51+,83.1
=33,=17,Pennsylvania State University,United States of America,85.1,31,74.0,51+,87.2,51+,86.0,50=,69.6,40,83.0
=33,51-100,Wuhan University,China (Mainland),80.5,51+,71.0,51+,90.6,49=,98.8,2,58.6,51+,83.0
