2025,2024,Institution,Country / Territory,Academic,AR rank,Employer,ER Rank,Citations,CPP Rank,H,H Rank,IRN,IRN Rank,Score
1,1,UCL Institute of Education | University College London,United Kingdom,100.0,1,83.3,19,93.4,27=,99.1,5=,,,96.8
2,2,Harvard University,United States of America,94.2,3=,100.0,1,91.8,46=,99.6,2,,,95.4
3,7,The University of Hong Kong,"Hong Kong SAR, China",94.5,2,86.7,14,94.6,16=,97.3,9,,,94.3
4,3,Stanford University,United States of America,90.8,6,92.9,5,95.5,11,100.0,1,,,93.8
5,5,University of Cambridge,United Kingdom,90.7,7,95.4,3,99.4,2,94.6,17,,,93.7
6,4,University of Oxford,United Kingdom,91.5,5,96.9,2,94.6,16=,95.9,12=,,,93.5
7,16,Beijing Normal University,China (Mainland),94.2,3=,69.9,101+,85.9,101+,92.4,34=,,,89.8
8,10,"Nanyang Technological University, Singapore (NTU)",Singapore,90.6,8,90.5,7,86.4,101+,90.2,63=,,,89.7
9,6,"University of California, Berkeley (UCB)",United States of America,84.7,11,86.2,15,93.6,24=,94.1,19,,,88.5
10,8,University of Toronto,Canada,83.3,15,81.9,24=,91.2,59=,99.3,3=,,,87.9
11,11,Columbia University,United States of America,84.5,12,82.4,22,88.0,101+,93.9,20=,,,86.9
12,20,The Education University of Hong Kong,"Hong Kong SAR, China",89.3,9,55.1,101+,90.8,70,92.6,31=,,,86.8
13,9,"University of California, Los Angeles (UCLA)",United States of America,83.7,14,84.1,16,88.9,101+,92.6,31=,,,86.6
14,=28,Tsinghua University,China (Mainland),82.5,16,88.3,11,94.6,16=,87.6,101+,,,86.5
15,19,Peking University,China (Mainland),82.3,17=,91.6,6,92.7,33,85.0,101+,,,85.9
16,13,The University of Melbourne,Australia,80.4,27,82.9,21,90.2,83=,96.1,11,,,85.8
17,12,The University of Edinburgh,United Kingdom,81.5,22,76.7,49=,92.2,40=,93.5,23=,,,85.6
18,=17,Michigan State University,United States of America,82.3,17=,68.6,101+,89.6,89=,98.0,8,,,85.5
19,14,University of Michigan-Ann Arbor,United States of America,79.7,29,75.1,62=,90.9,68=,99.1,5=,,,85.4
=20,=33,The Chinese University of Hong Kong (CUHK),"Hong Kong SAR, China",81.9,20,76.7,49=,91.2,59=,92.0,39=,,,85.3
=20,15,University of Wisconsin-Madison,United States of America,84.9,10,67.9,101+,87.1,101+,93.3,26=,,,85.3
=22,=28,Johns Hopkins University,United States of America,80.9,23=,76.6,51,88.4,101+,90.2,63=,,,83.8
=22,21,King's College London,United Kingdom,78.3,33=,82.0,23,91.7,48=,90.4,59=,,,83.8
=24,27,National Taiwan Normal University,Taiwan,80.7,25=,67.2,101+,88.8,101+,93.1,28=,,,83.5
=24,=17,University of British Columbia,Canada,77.4,37,81.5,26=,88.6,101+,94.5,18,,,83.5
26,22,The University of Sydney,Australia,76.7,44,81.5,26=,89.5,94=,95.0,16,,,83.4
27,=23,Vanderbilt University,United States of America,81.8,21,56.6,101+,89.3,100=,93.5,23=,,,83.1
=28,26,McGill University,Canada,73.8,56,78.8,38,93.8,23,93.1,28=,,,82.2
=28,=66,Seoul National University,Republic of Korea,82.3,17=,73.5,72,83.8,101+,84.7,101+,,,82.2
30,=23,Monash University,Australia,72.9,60,77.6,47,90.2,83=,98.5,7,,,82.0
31,35,Pennsylvania State University,United States of America,77.2,38=,69.8,101+,84.9,101+,93.5,23=,,,81.3
32,42,University of Illinois at Urbana-Champaign,United States of America,78.5,32,65.8,101+,85.1,101+,90.6,53=,,,81.0
33,101-150,Korea University,Republic of Korea,80.7,25=,69.0,101+,88.9,101+,78.6,101+,,,80.8
=34,37,The University of Auckland,New Zealand,75.7,47,76.5,52,86.1,101+,89.4,75=,,,80.6
=34,=98,Zhejiang University,China (Mainland),77.1,41,79.4,34,87.5,101+,83.1,101+,,,80.6
36,=33,Pontificia Universidad Católica de Chile (UC),Chile,78.3,33=,93.7,4,80.1,101+,79.4,101+,,,80.4
37,25,University of Helsinki,Finland,77.0,42,60.7,101+,86.4,101+,89.7,71=,,,79.8
38,=70,Universiti Malaya (UM),Malaysia,76.6,45,75.2,60=,85.1,101+,84.1,101+,,,79.7
=39,=54,The Ohio State University,United States of America,75.0,50,65.9,101+,85.5,101+,92.2,37=,,,79.6
=39,=44,University of Pennsylvania,United States of America,72.2,62,74.7,66,87.7,101+,92.4,34=,,,79.6
=41,40,The University of Queensland,Australia,71.6,65,75.6,58,88.2,101+,91.8,41=,,,79.4
=41,30,University of Texas at Austin,United States of America,71.1,69=,68.2,101+,89.4,97=,95.8,14,,,79.4
43,=57,The University of Tokyo,Japan,80.9,23=,83.7,18,78.4,101+,73.8,101+,,,79.3
44,53,University of Washington,United States of America,71.4,67,62.4,101+,89.6,89=,95.9,12=,,,79.0
45,=47,The University of Manchester,United Kingdom,70.7,72,77.7,45=,90.6,72=,88.4,90=,,,78.9
=46,51,ETH Zurich - Swiss Federal Institute of Technology,Switzerland,71.0,71,74.6,67=,97.8,6,81.3,101+,,,78.8
=46,50,New York University (NYU),United States of America,68.9,94=,78.6,39,90.0,86,92.2,37=,,,78.8
=46,=73,Princeton University,United States of America,70.1,78=,84.0,17,97.1,8,79.4,101+,,,78.8
=46,38,University of Bristol,United Kingdom,68.9,94=,69.7,101+,98.8,3,87.9,96=,,,78.8
50,41,Deakin University,Australia,66.2,101+,66.6,101+,95.3,12,99.3,3=,,,78.7
51,31,Utrecht University,Netherlands,68.2,101+,60.8,101+,95.0,13=,96.8,10,,,78.5
52,101-150,East China Normal University,China (Mainland),75.1,49,50.1,101+,89.5,94=,89.7,71=,,,78.4
53,56,University of Minnesota Twin Cities,United States of America,72.4,61,66.3,101+,85.3,101+,91.5,45=,,,78.2
54,=47,University of Nottingham,United Kingdom,71.1,69=,64.4,101+,91.7,48=,88.9,82=,,,78.1
55,101-150,Yonsei University,Republic of Korea,78.2,35,68.9,101+,83.3,101+,76.8,101+,,,78.0
=56,=44,KU Leuven,Belgium,71.2,68,65.5,101+,87.8,101+,90.6,53=,,,77.8
=56,32,University of Amsterdam,Netherlands,66.2,101+,71.5,86=,93.6,24=,93.9,20=,,,77.8
=58,46,Arizona State University,United States of America,70.3,74=,65.9,101+,86.0,101+,93.7,22,,,77.7
=58,96,Cornell University,United States of America,70.1,78=,77.0,48,90.4,78=,84.4,101+,,,77.7
=58,39,Universidad Nacional Autónoma de México (UNAM),Mexico,79.9,28,88.2,12,70.2,101+,74.4,101+,,,77.7
61,=73,University of Chicago,United States of America,69.8,82=,80.8,29,88.3,101+,85.0,101+,,,77.6
62,=62,The University of New South Wales (UNSW Sydney),Australia,67.3,101+,79.5,33,88.7,101+,90.4,59=,,,77.4
63,151-200,Ewha Womans University,Republic of Korea,76.3,46,58.4,101+,87.3,101+,79.4,101+,,,77.3
64,52,University of Oslo,Norway,69.5,87=,57.6,101+,90.3,80=,93.3,26=,,,77.2
=65,=83,Tecnológico de Monterrey,Mexico,74.9,51,87.0,13,74.4,101+,78.1,101+,,,76.7
=65,49,University of Glasgow,United Kingdom,69.7,84=,66.9,101+,88.7,101+,87.1,101+,,,76.7
67,=92,The University of Georgia,United States of America,70.1,78=,60.1,101+,86.8,101+,90.9,51=,,,76.6
68,=80,Boston College,United States of America,71.7,63=,52.9,101+,88.8,101+,87.9,96=,,,76.5
69,=57,Universitat de Barcelona,Spain,71.7,63=,74.6,67=,81.1,101+,84.1,101+,,,76.4
=70,151-200,Fudan University,China (Mainland),77.2,38=,80.2,30=,76.6,101+,71.6,101+,,,76.3
=70,64,University of Birmingham,United Kingdom,70.2,77,64.7,101+,88.4,101+,85.3,101+,,,76.3
72,=60,University of York,United Kingdom,66.3,101+,64.9,101+,94.1,21,88.9,82=,,,76.2
73,101-150,Universidad de Buenos Aires (UBA),Argentina,77.6,36,90.0,8,71.6,101+,69.7,101+,,,76.1
74,101-150,Kyoto University,Japan,74.6,54,71.3,88=,80.3,101+,77.7,101+,,,76.0
=75,=62,"Trinity College Dublin, The University of Dublin",Ireland,69.2,92,71.6,85,87.5,101+,83.4,101+,,,75.9
=75,=68,Universidad de Chile,Chile,71.5,66,88.8,10,78.7,101+,77.7,101+,,,75.9
77,101-150,Duke University,United States of America,65.6,101+,74.8,64=,88.2,101+,89.4,75=,,,75.8
