2025,2024,Institution,Country / Territory,Academic,AR rank,Employer,ER Rank,Citations,CPP Rank,H,H Rank,IRN,IRN Rank,Score
1,1,Massachusetts Institute of Technology (MIT),United States of America,100.0,1,100.0,1,95.8,11,85.7,35=,65.7,99=,96.0
2,2,Stanford University,United States of America,94.7,2,97.0,4,100.0,1,89.8,14=,63.9,101+,93.9
3,4,University of Cambridge,United Kingdom,92.6,5,97.8,3,92.5,45=,83.5,48=,83.3,17,92.5
4,5,National University of Singapore (NUS),Singapore,91.0,10,94.5,6,95.3,13=,90.7,11,75.3,38,91.8
5,6,ETH Zurich - Swiss Federal Institute of Technology,Switzerland,91.5,7=,96.6,5,90.4,77=,83.8,46,71.3,60,90.9
6,3,"University of California, Berkeley (UCB)",United States of America,94.0,3,90.7,8,97.2,4,84.6,43=,61.2,101+,90.6
7,12,Tsinghua University,China (Mainland),87.8,15,92.0,7,93.1,34=,96.9,2,72.0,57,90.1
8,7,University of Oxford,United Kingdom,88.8,12=,98.2,2,90.7,71=,79.8,90=,74.4,43,90.0
9,8,Imperial College London,United Kingdom,91.5,7=,89.3,13,88.0,101+,81.8,70=,94.6,2,89.3
10,9,"Nanyang Technological University, Singapore (NTU)",Singapore,83.5,25,90.1,9=,98.4,3,94.3,3,73.8,48,88.2
11,=16,Seoul National University,Republic of Korea,91.5,7=,85.7,20,87.3,101+,83.6,47,64.6,101+,86.9
12,10,EPFL,Switzerland,85.6,22,89.7,12,94.9,17,81.4,75,72.8,51,86.8
=13,13,California Institute of Technology (Caltech),United States of America,91.6,6,88.8,14,94.6,19=,74.3,101+,35.9,101+,86.2
=13,=16,Princeton University,United States of America,93.1,4,86.1,18,93.5,30,74.6,101+,43.0,101+,86.2
15,=23,Peking University,China (Mainland),81.0,33,90.1,9=,93.9,25=,92.3,6,51.3,101+,85.3
16,14,The University of Manchester,United Kingdom,87.2,18,82.0,31=,88.6,101+,82.6,59=,85.5,10=,85.2
17,15,The University of Tokyo,Japan,87.3,16=,87.7,15,84.1,101+,80.3,84=,62.4,101+,84.9
=18,25,Yale University,United States of America,84.1,24,89.8,11,95.0,16,74.9,101+,46.2,101+,84.1
=18,=35,Zhejiang University,China (Mainland),78.5,42=,87.6,16,88.0,101+,94.1,4=,72.6,53,84.1
20,20,UCL,United Kingdom,82.4,28,83.6,26,88.6,101+,80.9,79,81.3,22,83.3
21,11,Delft University of Technology,Netherlands,86.1,19,79.0,49,88.1,101+,82.2,65=,72.3,56,83.0
22,19,"University of California, Los Angeles (UCLA)",United States of America,82.0,31,83.3,28,93.2,31=,82.0,67=,63.3,101+,82.9
=23,=38,Northwestern University,United States of America,83.0,26,78.2,54=,96.2,7,82.6,59=,63.3,101+,82.2
=23,=23,University of Toronto,Canada,76.9,50,87.4,17,92.4,49=,82.8,55=,65.4,101+,82.2
=25,=21,"KIT, Karlsruhe Institute of Technology",Germany,87.3,16=,74.1,88=,84.8,101+,79.6,93=,81.6,21,81.8
=25,31,Technical University of Denmark,Denmark,88.8,12=,69.0,101+,90.6,75=,82.4,63=,78.9,28,81.8
27,=21,University of Minnesota Twin Cities,United States of America,90.6,11,72.2,101+,88.4,101+,79.3,96=,56.1,101+,81.7
28,18,Georgia Institute of Technology,United States of America,85.8,20,76.8,69,92.0,55,81.6,72=,51.0,101+,81.6
29,69,Shanghai Jiao Tong University,China (Mainland),74.6,69=,86.0,19,89.1,101+,91.6,9,65.6,101+,81.5
=30,50,KAIST - Korea Advanced Institute of Science & Technology,Republic of Korea,82.1,29=,82.4,30,90.7,71=,83.3,51=,39.8,101+,81.3
=30,26,University of Texas at Austin,United States of America,85.7,21,76.0,74=,94.2,22=,81.8,70=,44.9,101+,81.3
32,63,Fudan University,China (Mainland),76.7,52=,83.7,25,93.8,29,87.3,28,50.8,101+,81.0
33,=41,KU Leuven,Belgium,79.7,36,80.1,42,86.6,101+,79.3,96=,85.7,8=,80.9
=34,33,University of Pennsylvania,United States of America,80.4,35,85.0,22,90.3,81=,74.9,101+,47.8,101+,80.7
=34,=28,University of Wisconsin-Madison,United States of America,87.9,14,74.1,88=,89.7,87=,78.3,101+,46.7,101+,80.7
36,32,Cornell University,United States of America,76.6,55,81.7,33,92.9,39,80.0,88=,68.6,74,80.2
37,=51,Johns Hopkins University,United States of America,77.8,45=,85.2,21,91.3,57=,74.6,101+,48.0,101+,79.8
38,47,Kyoto University,Japan,79.6,37,78.7,51,86.6,101+,83.0,53=,58.3,101+,79.6
