2025,2024,Institution,Country / Territory,Academic,AR rank,Employer,ER Rank,Citations,CPP Rank,H,H Rank,IRN,IRN Rank,Score
1,1,Colorado School of Mines,United States of America,100.0,1,99.1,2,89.2,41,90.8,18,,,96.7
2,3,The University of New South Wales (UNSW Sydney),Australia,74.4,4,89.0,10,95.2,10,91.7,14=,,,84.5
3,5,McGill University,Canada,70.7,8,92.2,4,96.9,4,87.3,28,,,83.6
4,6,Saint-Petersburg Mining University,Russian Federation,79.6,2,91.5,6,80.6,51+,77.6,51+,,,83.0
5,2,Curtin University,Australia,71.1,6,84.1,18=,94.3,15,96.3,3,,,82.3
6,4,The University of Queensland,Australia,71.2,5,85.6,15=,93.4,22=,89.3,22,,,81.6
7,8,King Fahd University of Petroleum & Minerals,Saudi Arabia,65.1,15,100.0,1,84.2,51+,79.6,51+,,,80.6
8,,Imperial College London,United Kingdom,63.3,18,91.1,7,93.4,22=,92.5,10=,,,80.5
9,11,University of British Columbia,Canada,62.6,20,91.7,5,90.1,35,88.8,23,,,79.4
10,13,Pennsylvania State University,United States of America,67.2,12,80.2,32,93.2,24,92.3,12=,,,78.8
11,16,University of Witwatersrand,South Africa,67.5,10,86.4,14,87.7,51+,81.7,51+,,,78.3
12,10,University of Toronto,Canada,60.7,25,88.7,11,94.1,16,88.1,24=,,,78.2
13,7,The University of Western Australia,Australia,64.7,16,80.8,27,92.8,25,93.6,8,,,78.1
14,21,China University of Mining and Technology,China (Mainland),70.0,9,65.8,51+,93.9,18=,100.0,1,,,76.8
15,=17,Monash University,Australia,60.0,27=,77.0,39=,100.0,1,94.9,5,,,76.3
16,12,University of Alberta,Canada,67.4,11,73.2,51+,90.5,33,90.6,19,,,76.1
=17,15,Delft University of Technology,Netherlands,61.5,23,82.3,23,86.0,51+,90.2,20,,,75.7
=17,9,Universidad de Chile,Chile,57.4,34,90.2,9,89.6,36=,81.7,51+,,,75.7
19,14,Camborne School of Mines | University of Exeter,United Kingdom,59.2,30,80.4,30=,96.1,8,86.5,30=,,,75.2
20,=41,"Indian School of Mines (ISM) University, Dhanbad",India,74.7,3,67.0,51+,84.6,51+,79.9,51+,,,74.7
=21,23,RWTH Aachen University,Germany,60.0,27=,80.4,30=,87.7,51+,81.0,51+,,,73.4
=21,40,The University of Hong Kong,"Hong Kong SAR, China",50.7,51+,82.6,22,97.7,3,91.3,16,,,73.4
23,=25,The University of Sydney,Australia,55.3,39,81.5,26,94.4,13=,84.0,39=,,,73.3
24,20,Queen's University at Kingston,Canada,62.4,21,73.0,51+,92.4,28,82.7,46=,,,73.1
=25,=25,The University of Melbourne,Australia,51.1,51+,85.0,17,91.9,30=,87.8,26,,,72.9
=25,31,Virginia Polytechnic Institute and State University,United States of America,64.1,17,71.0,51+,88.0,48=,84.8,36=,,,72.9
27,22,Technische Universität Bergakademie Freiberg,Germany,70.9,7,60.6,51+,89.6,36=,83.3,43=,,,72.5
=28,32,New Mexico Institute of Mining and Technology,United States of America,59.9,29,77.2,37=,88.1,47,78.4,51+,,,72.1
=28,19,The University of Adelaide,Australia,56.0,37=,70.9,51+,96.7,5,92.5,10=,,,72.1
30,,Pontificia Universidad Católica de Chile (UC),Chile,50.7,51+,97.1,3,79.2,51+,70.1,51+,,,71.8
31,37,Université PSL,France,53.6,46,77.7,36,88.5,45,88.1,24=,,,71.2
32,=41,The University of Arizona,United States of America,63.1,19,59.9,51+,93.9,18=,91.0,17,,,70.9
33,=34,Universidade de São Paulo,Brazil,46.8,51+,88.5,12,83.7,51+,85.4,34,,,70.6
=34,51-70,Kyoto University,Japan,53.2,48,75.9,43=,83.8,51+,86.5,30=,,,69.6
=34,=50,University of Nevada - Reno,United States of America,56.4,36,68.0,51+,93.9,18=,84.0,39=,,,69.6
36,24,Universidad Nacional de Colombia,Colombia,58.3,33,80.6,28,76.2,51+,70.7,51+,,,69.5
37,51-70,Wuhan University,China (Mainland),47.1,51+,74.1,51+,93.7,21,94.7,6,,,69.3
=38,49,Lomonosov Moscow State University,Russian Federation,52.5,51+,87.6,13,68.4,51+,76.3,51+,,,69.0
=38,=45,University of Leeds,United Kingdom,44.1,51+,76.9,41=,96.2,7,92.3,12=,,,69.0
40,=25,Indian Institute of Technology Bombay (IITB),India,44.6,51+,84.1,18=,89.5,38=,82.0,50=,,,68.8
