2025,2024,Institution,Country / Territory,Academic,AR rank,Employer,ER Rank,Citations,CPP Rank,H,H Rank,IRN,IRN Rank,Score
=1,2,University of Cambridge,United Kingdom,99.7,2,96.2,3,81.8,99=,,,,,97.6
=1,1,University of Oxford,United Kingdom,100.0,1,97.5,2,78.7,101+,,,,,97.6
3,3,Harvard University,United States of America,97.6,3,100.0,1,87.4,36=,,,,,96.8
4,4,"University of California, Berkeley (UCB)",United States of America,93.4,4,86.3,8,88.1,30,,,,,92.2
5,5,Yale University,United States of America,92.7,5,89.1,6,81.1,101+,,,,,91.2
6,6,Stanford University,United States of America,90.9,7,92.7,5,83.9,71,,,,,90.4
7,9,The University of Edinburgh,United Kingdom,92.0,6,79.8,30,85.0,61,,,,,90.1
8,7,"University of California, Los Angeles (UCLA)",United States of America,89.5,10,86.1,9=,92.5,10,,,,,89.5
9,8,Columbia University,United States of America,90.0,8,82.0,19,84.1,69=,,,,,88.6
10,11,Princeton University,United States of America,89.6,9,83.2,14=,80.6,101+,,,,,88.1
11,13,University of Chicago,United States of America,88.0,11,81.0,25,87.4,36=,,,,,87.2
12,12,UCL,United Kingdom,87.6,13,82.1,18,87.9,31=,,,,,87.1
13,10,University of Toronto,Canada,87.9,12,81.3,24,82.2,95=,,,,,86.7
14,14,New York University (NYU),United States of America,86.4,14,83.2,14=,87.9,31=,,,,,86.2
15,16,National University of Singapore (NUS),Singapore,84.4,16,86.5,7,83.0,84=,,,,,84.5
16,15,King's College London,United Kingdom,84.6,15,79.5,31,82.9,86=,,,,,83.9
17,27,The University of Hong Kong,"Hong Kong SAR, China",83.4,17,79.0,32,83.5,75=,,,,,83.0
18,=19,The University of Manchester,United Kingdom,81.8,24,81.4,21=,86.4,44,,,,,82.2
=19,25,Cornell University,United States of America,82.1,21=,78.5,35,85.2,59=,,,,,82.1
=19,=31,Massachusetts Institute of Technology (MIT),United States of America,82.5,19,93.7,4,67.3,101+,,,,,82.1
21,23,The University of Melbourne,Australia,82.1,21=,80.4,28=,81.4,101+,,,,,81.9
22,=17,Duke University,United States of America,81.7,25=,74.2,54,89.2,25=,,,,,81.7
23,=17,University of British Columbia,Canada,81.9,23,80.5,27,80.3,101+,,,,,81.6
24,33,Peking University,China (Mainland),80.5,30,85.2,11,83.5,75=,,,,,81.3
25,22,University of Pennsylvania,United States of America,81.7,25=,77.9,39,80.4,101+,,,,,81.2
26,=19,The University of Sydney,Australia,81.3,28,78.6,34,81.6,101+,,,,,81.1
27,21,"Trinity College Dublin, The University of Dublin",Ireland,82.8,18,69.0,101+,78.1,101+,,,,,81.0
28,24,University of Michigan-Ann Arbor,United States of America,81.5,27,75.6,48,81.4,101+,,,,,80.9
