2025,2024,Institution,Country / Territory,Academic,AR rank,Employer,ER Rank,Citations,CPP Rank,H,H Rank,IRN,IRN Rank,Score
1,1,ETH Zurich - Swiss Federal Institute of Technology,Switzerland,95.6,10,100.0,1,92.8,13=,96.7,3,71.1,31=,93.2
2,3,University of Oxford,United Kingdom,97.2,7,95.8,4,90.0,41=,91.9,17,78.5,13,92.1
3,2,Harvard University,United States of America,96.7,8,97.2,3,89.8,47=,93.2,14=,70.1,38,91.5
=4,=5,California Institute of Technology (Caltech),United States of America,94.6,13,91.3,9,86.7,51+,96.2,4=,79.3,10,91.2
=4,=5,Massachusetts Institute of Technology (MIT),United States of America,100.0,1,97.5,2,87.6,51+,90.7,20,69.1,44,91.2
6,4,University of Cambridge,United Kingdom,98.1,4,95.7,5,89.2,51+,89.1,28=,73.7,22,90.9
7,8,Columbia University,United States of America,94.5,14,69.8,51+,95.8,4,95.2,6=,74.2,19,90.5
8,=5,"University of California, Berkeley (UCB)",United States of America,97.5,5=,90.7,11,87.4,51+,89.9,25,73.3,23,90.0
9,10,University of Washington,United States of America,99.5,2,64.6,51+,92.2,22=,94.1,12,68.1,50,89.7
10,9,Stanford University,United States of America,98.3,3,94.8,6,88.2,51+,88.3,32,62.8,51+,89.4
11,12,University of Colorado Boulder,United States of America,95.0,12,66.5,51+,88.5,51+,95.1,9,68.3,49,87.9
12,11,Princeton University,United States of America,92.3,17,84.7,20=,91.2,27,90.5,21=,62.4,51+,87.8
13,=19,Delft University of Technology,Netherlands,97.5,5=,85.3,17,82.3,51+,86.5,46,74.9,18,87.5
14,18,University of Leeds,United Kingdom,91.1,21,67.2,51+,92.1,24,89.1,28=,80.3,9,87.4
15,=25,Peking University,China (Mainland),91.4,18,84.9,19,89.3,51+,93.5,13,56.8,51+,87.3
16,=13,The University of Tokyo,Japan,95.3,11,86.9,14,81.6,51+,88.9,31,71.1,31=,87.0
17,=21,Utrecht University,Netherlands,95.7,9,69.8,51+,92.3,20=,87.1,42,63.1,51+,86.9
=18,=32,Tsinghua University,China (Mainland),84.2,48=,85.1,18,89.9,45=,95.2,6=,63.1,51+,86.4
=18,51-100,Wuhan University,China (Mainland),87.3,34,68.6,51+,89.8,47=,99.1,2,61.5,51+,86.4
=20,=34,Imperial College London,United Kingdom,91.2,20,88.3,12,85.6,51+,85.0,51+,67.9,51+,85.6
=20,=25,"University of California, San Diego (UCSD)",United States of America,91.0,22=,69.5,51+,90.7,34=,89.8,26=,62.1,51+,85.6
22,=13,The Australian National University,Australia,93.5,16,82.5,27,87.3,51+,83.7,51+,64.4,51+,85.5
23,29,Université Grenoble Alpes,France,87.4,33,65.6,51+,87.7,51+,89.8,26=,82.5,8,85.4
24,24,"University of California, Los Angeles (UCLA)",United States of America,91.3,19,76.9,49,86.8,51+,87.8,35=,65.8,51+,85.3
=25,51-100,Nanjing University,China (Mainland),88.8,29=,75.4,51+,88.6,51+,93.2,14=,54.3,51+,85.1
=25,=16,UCL,United Kingdom,85.2,42=,77.7,47,86.4,51+,86.9,43,84.3,7,85.1
27,=16,Sorbonne University,France,74.6,51+,80.2,37,85.7,51+,92.3,16,100.0,1,84.9
28,23,University of Texas at Austin,United States of America,91.0,22=,74.8,51+,83.8,51+,87.4,40,71.8,30,84.8
=29,15,University of British Columbia,Canada,94.2,15,81.2,32=,86.3,51+,83.5,51+,58.6,51+,84.7
=29,=27,University of Toronto,Canada,88.9,28,83.8,22,88.0,51+,86.0,48,61.7,51+,84.7
31,31,The University of New South Wales (UNSW Sydney),Australia,81.1,51+,82.2,29=,91.5,25,89.1,28=,68.5,47=,84.6
32,40,Yale University,United States of America,89.3,27,86.4,15,90.8,31=,82.6,51+,56.4,51+,84.4
=33,=19,The University of Edinburgh,United Kingdom,85.1,45=,81.3,31,87.9,51+,84.9,51+,73.9,21,84.3
=33,=34,Wageningen University & Research,Netherlands,75.6,51+,91.6,8,95.3,5,86.7,44=,69.9,41,84.3
35,=49,The University of Melbourne,Australia,90.1,25,82.2,29=,88.4,51+,84.5,51+,55.6,51+,84.0
36,=21,Pennsylvania State University,United States of America,88.8,29=,69.2,51+,86.2,51+,86.7,44=,71.0,35,83.9
=38,37,McGill University,Canada,89.9,26,77.6,48,89.8,47=,82.4,51+,53.1,51+,83.1
=38,36,University of Bristol,United Kingdom,88.4,32,65.9,51+,89.9,45=,83.3,51+,66.8,51+,83.1
=40,39,Texas A&M University,United States of America,84.2,48=,75.2,51+,85.8,51+,85.2,51+,73.2,24=,82.9
=40,=27,"University of Maryland, College Park",United States of America,74.4,51+,66.5,51+,92.2,22=,94.7,11,72.2,26,82.9
=42,51-100,Cornell University,United States of America,83.0,51+,82.7,26,90.0,41=,82.9,51+,62.2,51+,82.6
=42,=42,Curtin University,Australia,85.8,39=,68.1,51+,85.0,51+,85.0,51+,75.9,16=,82.6
=42,51-100,"Nanyang Technological University, Singapore (NTU)",Singapore,90.7,24,91.2,10,86.7,51+,79.0,51+,48.7,51+,82.6
=42,51-100,Université PSL,France,69.5,51+,76.1,51+,85.7,51+,91.4,18,98.7,2,82.6
=46,51-100,Colorado State University,United States of America,84.1,51+,75.1,51+,92.8,13=,87.6,38=,45.8,51+,82.4
=46,51-100,The University of Hong Kong,"Hong Kong SAR, China",85.6,41,78.4,45,92.3,20=,83.7,51+,48.8,51+,82.4
=46,51-100,The University of Queensland,Australia,88.6,31,80.4,36,86.5,51+,82.4,51+,55.8,51+,82.4
49,=32,The University of Arizona,United States of America,82.8,51+,60.0,51+,86.6,51+,87.9,33=,78.1,14,82.3
50,51-100,University of Chinese Academy of Sciences,China (Mainland),71.8,51+,60.9,51+,86.7,51+,100.0,1,78.6,12,82.2
51-100,51-100,Arizona State University,United States of America,81.7,51+,67.2,51+,86.0,51+,82.2,51+,65.0,51+,
51-100,101-150,Beijing Normal University,China (Mainland),71.0,51+,50.4,51+,93.1,12,95.2,6=,61.1,51+,
51-100,101-150,China University of Geosciences,China (Mainland),85.1,45=,42.8,51+,87.4,51+,94.8,10,60.7,51+,
51-100,101-150,Christian-Albrechts-University zu Kiel,Germany,79.6,51+,54.1,51+,87.6,51+,76.8,51+,70.5,37,
51-100,51-100,Durham University,United Kingdom,82.2,51+,64.1,51+,88.0,51+,83.7,51+,68.0,51+,
51-100,51-100,EPFL,Switzerland,73.9,51+,94.0,7,89.2,51+,77.0,51+,49.0,51+,
51-100,51-100,Georgia Institute of Technology,United States of America,76.7,51+,72.5,51+,86.5,51+,82.6,51+,50.7,51+,
51-100,51-100,Ghent University,Belgium,74.0,51+,75.2,51+,88.8,51+,81.8,51+,70.6,36,
51-100,51-100,Johns Hopkins University,United States of America,86.5,36,75.8,51+,81.7,51+,80.5,51+,63.1,51+,
51-100,51-100,"KIT, Karlsruhe Institute of Technology",Germany,72.1,51+,71.5,51+,90.8,31=,85.6,50=,69.3,43,
51-100,101-150,KU Leuven,Belgium,71.0,51+,81.2,32=,84.4,51+,79.8,51+,68.0,51+,
51-100,51-100,Kyoto University,Japan,83.2,51+,73.0,51+,79.2,51+,79.8,51+,66.9,51+,
51-100,51-100,Ludwig-Maximilians-Universität München,Germany,74.5,51+,62.9,51+,89.3,51+,83.7,51+,60.1,51+,
51-100,51-100,Lund University,Sweden,80.0,51+,59.8,51+,92.4,19,82.2,51+,63.4,51+,
51-100,=49,Monash University,Australia,74.5,51+,75.9,51+,92.8,13=,90.2,24,60.3,51+,
51-100,51-100,Newcastle University,United Kingdom,77.5,51+,70.9,51+,90.2,40,80.7,51+,62.4,51+,
51-100,101-150,Seoul National University,Republic of Korea,80.5,51+,83.3,23=,81.7,51+,76.8,51+,56.2,51+,
51-100,38,Stockholm University,Sweden,82.4,51+,57.7,51+,91.0,29=,85.8,49,70.0,39=,
51-100,101-150,Sun Yat-sen University,China (Mainland),74.4,51+,59.0,51+,86.5,51+,90.4,23,61.4,51+,
51-100,51-100,Technical University of Denmark,Denmark,80.5,51+,70.7,51+,83.3,51+,76.8,51+,61.8,51+,
51-100,51-100,Technical University of Munich,Germany,68.8,51+,75.1,51+,89.1,51+,85.4,51+,65.0,51+,
51-100,101-150,The Hong Kong University of Science and Technology,"Hong Kong SAR, China",84.2,48=,75.9,51+,92.8,13=,80.2,51+,34.1,51+,
51-100,101-150,The Ohio State University,United States of America,71.8,51+,77.8,46,87.9,51+,83.5,51+,58.2,51+,
51-100,51-100,The University of Adelaide,Australia,77.2,51+,68.3,51+,90.5,38,82.2,51+,61.6,51+,
51-100,51-100,The University of Manchester,United Kingdom,73.8,51+,71.7,51+,86.9,51+,83.9,51+,67.2,51+,
51-100,51-100,The University of Sydney,Australia,82.3,51+,78.5,44,87.4,51+,81.1,51+,62.2,51+,
51-100,=47,The University of Western Australia,Australia,86.0,38,64.8,51+,83.4,51+,83.1,51+,71.1,31=,
51-100,51-100,Universidad Nacional Autónoma de México (UNAM),Mexico,79.0,51+,74.6,51+,75.8,51+,79.8,51+,76.4,15,
51-100,51-100,Universität Bremen,Germany,82.6,51+,54.4,51+,87.9,51+,82.2,51+,58.7,51+,
51-100,51-100,Universitat de Barcelona,Spain,77.2,51+,68.3,51+,88.1,51+,78.3,51+,68.0,51+,
51-100,51-100,Universität Potsdam,Germany,81.4,51+,45.1,51+,89.2,51+,81.6,51+,68.5,47=,
51-100,51-100,Université de Montpellier,France,73.8,51+,58.6,51+,88.6,51+,82.6,51+,88.3,5,
51-100,51-100,Université Paris Cité,France,57.6,51+,43.2,51+,88.0,51+,96.2,4=,93.1,3,
51-100,,Université Paris-Saclay,France,63.6,51+,73.3,51+,87.0,51+,91.0,19,84.8,6,
51-100,51-100,Université Paul Sabatier Toulouse III,France,61.7,51+,42.8,51+,89.5,51+,90.5,21=,92.4,4,
51-100,51-100,University of Alberta,Canada,86.8,35,71.1,51+,85.6,51+,81.1,51+,55.9,51+,
51-100,51-100,University of Bergen,Norway,83.9,51+,60.0,51+,86.5,51+,79.8,51+,46.3,51+,
51-100,46,University of Bern,Switzerland,82.3,51+,58.2,51+,90.7,34=,83.3,51+,65.0,51+,
51-100,=42,"University of California, Davis",United States of America,84.2,48=,81.0,34,87.2,51+,82.4,51+,59.8,51+,
51-100,51-100,"University of California, Irvine",United States of America,73.7,51+,60.1,51+,97.0,2,85.0,51+,53.9,51+,
51-100,51-100,"University of California, Santa Barbara (UCSB)",United States of America,74.5,51+,67.0,51+,92.5,18,83.7,51+,59.5,51+,
51-100,45,University of Copenhagen,Denmark,78.3,51+,73.3,51+,86.9,51+,80.9,51+,66.9,51+,
51-100,51-100,University of Illinois at Urbana-Champaign,United States of America,74.0,51+,80.7,35,87.9,51+,81.6,51+,52.5,51+,
51-100,41,University of Michigan-Ann Arbor,United States of America,84.6,47,72.6,51+,84.9,51+,84.9,51+,64.0,51+,
51-100,=49,University of Oslo,Norway,85.2,42=,59.8,51+,90.0,41=,85.4,51+,60.6,51+,
51-100,=42,University of Southampton,United Kingdom,81.2,51+,62.4,51+,88.6,51+,87.6,38=,68.9,45,
51-100,51-100,University of St Andrews,United Kingdom,80.1,51+,65.6,51+,90.0,41=,75.2,51+,59.1,51+,
51-100,51-100,University of Tasmania,Australia,78.9,51+,60.8,51+,88.4,51+,81.8,51+,61.4,51+,
51-100,51-100,University of Vienna,Austria,73.0,51+,59.8,51+,100.0,1,81.6,51+,63.8,51+,
51-100,51-100,University of Wisconsin-Madison,United States of America,77.6,51+,74.0,51+,89.2,51+,87.8,35=,70.0,39=,
51-100,101-150,Vrije Universiteit Amsterdam,Netherlands,70.9,51+,62.8,51+,96.6,3,81.8,51+,48.3,51+,
51-100,101-150,Zhejiang University,China (Mainland),82.7,51+,84.7,20=,81.2,51+,84.5,51+,51.9,51+,
101-150,51-100,Aarhus University,Denmark,73.8,51+,68.6,51+,87.3,51+,79.5,51+,61.6,51+,
101-150,51-100,Alma Mater Studiorum - University of Bologna,Italy,71.0,51+,79.6,40,82.9,51+,77.0,51+,68.6,46,
101-150,101-150,Colorado School of Mines,United States of America,85.8,39=,66.7,51+,79.7,51+,76.8,51+,44.1,51+,
101-150,101-150,Duke University,United States of America,76.3,51+,72.4,51+,89.0,51+,74.0,51+,51.4,51+,
101-150,101-150,Eberhard Karls Universität Tübingen,Germany,76.8,51+,61.1,51+,83.8,51+,73.4,51+,63.0,51+,
101-150,101-150,Freie Universitaet Berlin,Germany,78.3,51+,61.7,51+,86.8,51+,76.5,51+,48.4,51+,
101-150,101-150,Goethe-University Frankfurt am Main,Germany,70.1,51+,58.3,51+,91.0,29=,74.3,51+,55.8,51+,
101-150,101-150,Hokkaido University,Japan,80.6,51+,63.4,51+,82.6,51+,75.7,51+,58.3,51+,
101-150,151-200,Indian Institute of Technology Bombay (IITB),India,74.6,51+,79.9,38,84.0,51+,73.7,51+,46.0,51+,
101-150,201-240,Ocean University of China,China (Mainland),84.1,51+,31.4,51+,79.9,51+,83.3,51+,45.4,51+,
101-150,101-150,Oregon State University,United States of America,79.1,51+,53.2,51+,87.7,51+,81.4,51+,50.5,51+,
101-150,51-100,Purdue University,United States of America,66.5,51+,83.0,25,86.3,51+,81.4,51+,63.1,51+,
101-150,101-150,Rheinische Friedrich-Wilhelms-Universität Bonn,Germany,63.4,51+,64.3,51+,86.9,51+,81.1,51+,71.9,28=,
101-150,51-100,Ruprecht-Karls-Universität Heidelberg,Germany,66.8,51+,68.1,51+,91.1,28,80.9,51+,67.9,51+,
101-150,151-200,Shanghai Jiao Tong University,China (Mainland),77.1,51+,87.6,13,76.7,51+,78.8,51+,58.3,51+,
101-150,151-200,The Chinese University of Hong Kong (CUHK),"Hong Kong SAR, China",70.7,51+,73.8,51+,93.5,10,80.9,51+,36.5,51+,
101-150,151-200,The Hong Kong Polytechnic University,"Hong Kong SAR, China",75.7,51+,62.9,51+,90.7,34=,83.5,51+,43.2,51+,
101-150,101-150,The University of Auckland,New Zealand,85.2,42=,79.0,42,80.2,51+,70.9,51+,50.0,51+,
101-150,101-150,Tohoku University,Japan,80.2,51+,63.6,51+,77.7,51+,76.0,51+,62.7,51+,
101-150,151-200,Tongji University,China (Mainland),83.3,51+,45.9,51+,79.6,51+,84.1,51+,49.6,51+,
101-150,51-100,Universidad de Chile,Chile,75.1,51+,67.1,51+,84.1,51+,77.6,51+,58.5,51+,
101-150,101-150,Universidade de São Paulo,Brazil,71.3,51+,74.9,51+,80.5,51+,81.1,51+,64.2,51+,
101-150,101-150,Università di Padova,Italy,67.4,51+,79.7,39,82.4,51+,80.2,51+,63.0,51+,
101-150,51-100,Universität Hamburg,Germany,75.6,51+,62.6,51+,83.9,51+,79.8,51+,66.4,51+,
101-150,,Universitat Politècnica de Catalunya · BarcelonaTech (UPC),Spain,69.5,51+,62.3,51+,83.9,51+,79.3,51+,66.4,51+,
101-150,51-100,University of Birmingham,United Kingdom,69.6,51+,64.0,51+,89.6,51+,82.2,51+,66.0,51+,
101-150,101-150,University of Calgary,Canada,77.9,51+,64.5,51+,82.2,51+,79.3,51+,52.0,51+,
101-150,151-200,"University of California, Riverside",United States of America,70.2,51+,59.2,51+,89.0,51+,77.6,51+,50.3,51+,
101-150,51-100,"University of California, Santa Cruz",United States of America,79.2,51+,43.5,51+,88.7,51+,79.5,51+,61.7,51+,
101-150,101-150,University of Cape Town,South Africa,75.5,51+,52.6,51+,83.6,51+,77.6,51+,71.1,31=,
101-150,51-100,University of Chicago,United States of America,77.4,51+,69.5,51+,87.2,51+,74.6,51+,58.3,51+,
101-150,101-150,University of East Anglia (UEA),United Kingdom,71.8,51+,65.6,51+,94.6,6,79.5,51+,48.5,51+,
101-150,151-200,University of Florence,Italy,63.2,51+,66.0,51+,87.6,51+,82.0,51+,64.7,51+,
101-150,101-150,University of Florida,United States of America,71.4,51+,57.2,51+,86.9,51+,82.2,51+,56.4,51+,
101-150,51-100,University of Geneva,Switzerland,72.9,51+,60.0,51+,86.2,51+,78.3,51+,72.0,27,
101-150,101-150,University of Göttingen,Germany,68.5,51+,68.0,51+,85.8,51+,73.4,51+,66.1,51+,
101-150,=47,University of Hawaiʻi at Mānoa,United States of America,67.5,51+,56.8,51+,87.4,51+,85.2,51+,71.9,28=,
