2025,2024,Institution,Country / Territory,Academic,AR rank,Employer,ER Rank,Citations,CPP Rank,H,H Rank,IRN,IRN Rank,Score
1,1,EHL Hospitality Business School,Switzerland,100.0,1,100.0,1,75.6,51+,,,,,98.8
2,5,Les Roches Global Hospitality Education,Switzerland,90.7,7,96.1,4,42.2,51+,,,,,91.0
3,2,SHMS - Swiss Hotel Management School,Switzerland,93.7,3=,97.2,2,,,,,,,90.8
4,4,University of Nevada - Las Vegas,United States of America,95.9,2,84.3,9,82.4,28=,,,,,89.4
5,3,Cesar Ritz Colleges,Switzerland,93.7,3=,93.3,5,,,,,,,88.8
6,8,Glion Institute of Higher Education,Switzerland,86.7,9,96.4,3,,,,,,,87.2
7,6,Hotel Institute Montreux - HIM,Switzerland,91.1,6,91.4,6,,,,,,,86.7
8,7,Culinary Arts Academy Switzerland,Switzerland,91.7,5,90.5,7,,,,,,,86.5
9,10,Hotelschool The Hague,Netherlands,82.9,10,85.1,8,60.5,51+,,,,,82.9
10,9,The Emirates Academy of Hospitality Management (EAHM),United Arab Emirates,78.2,13,77.2,12,77.0,51+,,,,,77.6
11,11,The Hong Kong Polytechnic University,"Hong Kong SAR, China",87.5,8,60.4,20,80.7,38,,,,,73.6
12,13,Hotel School Vatel,France,68.9,23,79.5,10,,,,,,,70.8
13,12,Macao University of Tourism (UTM),"Macao SAR, China",76.6,15,62.8,18,71.9,51+,,,,,69.5
14,16,Escuela Universitaria de hosteleria y turismo de Sant Pol de Mar,Spain,64.6,35,77.9,11,,,,,,,68.0
15,14,Cornell University | School of Hotel Administration,United States of America,81.0,12,55.6,28,67.2,51+,,,,,67.6
16,15,University of Surrey,United Kingdom,82.2,11,50.9,37,88.5,8=,,,,,66.9
17,=17,"IMI-Luzern - IRN Hotel Management School, Switzerland",Switzerland,64.5,36,75.4,13,,,,,,,66.7
18,22,University of Central Florida,United States of America,77.5,14,53.5,30,82.5,27,,,,,65.8
19,23,"Hotel and Tourism Management Institute, Switzerland",Switzerland,65.2,32,71.5,14,,,,,,,65.1
20,19,Taylor's University,Malaysia,76.4,16,52.6,31=,78.0,51+,,,,,64.6
21,20,Oxford Brookes University,United Kingdom,67.6,26=,55.8,26,82.2,31,,,,,62.4
22,28,Breda University of Applied Sciences,Netherlands,66.0,30,56.1,25,84.9,19,,,,,62.0
=23,=17,Bournemouth University,United Kingdom,72.1,20,49.1,41,85.7,15,,,,,61.3
=23,21,Pennsylvania State University | School of Hospitality Management,United States of America,75.7,17,47.2,51+,72.5,51+,,,,,61.3
25,24,Griffith University,Australia,74.3,18,47.4,50=,81.2,35,,,,,61.2
26,27,The University of Queensland,Australia,72.8,19,46.7,51+,83.7,24,,,,,60.3
27,25,Blue Mountains IRN Hotel Management School (BMIHMS),Australia,61.9,42,64.4,17,,,,,,,60.1
28,34,"Nanyang Technological University, Singapore (NTU)",Singapore,57.6,51+,58.9,23,75.0,51+,,,,,59.1
29,43,Sejong University,Republic of Korea,68.4,24,47.3,51+,91.7,3,,,,,59.0
30,51-100,Ecole Hoteliere de Geneve,Switzerland,54.3,51+,68.6,16,,,,,,,58.7
31,=31,Florida International University,United States of America,68.2,25,48.8,42,70.6,51+,,,,,58.6
=32,40,Business and hotel management school - bhms,Switzerland,52.7,51+,69.4,15,,,,,,,58.4
=32,26,Virginia Polytechnic Institute and State University,United States of America,67.6,26=,47.9,46=,79.8,42,,,,,58.4
=34,36,Michigan State University,United States of America,56.5,51+,57.5,24,73.6,51+,,,,,57.9
=34,35,University of Houston,United States of America,67.5,28,46.6,51+,84.3,22,,,,,57.9
36,=29,Management and Science University,Malaysia,59.2,51+,61.8,19,,,,,,,57.5
37,=31,University of Florida,United States of America,65.4,31,48.2,45,75.2,51+,,,,,57.3
=38,33,University of Derby,United Kingdom,63.6,38=,49.9,39,63.2,51+,,,,,56.7
=38,51-100,University of South Carolina,United States of America,59.2,51+,51.7,34,85.0,18,,,,,56.7
40,37,Washington State University,United States of America,65.1,33=,45.8,51+,85.2,17,,,,,56.5
41,51-100,Zhejiang University,China (Mainland),57.0,51+,51.5,35=,77.7,51+,,,,,55.3
42,51-100,Kyung Hee University,Republic of Korea,67.1,29,41.1,51+,86.3,11,,,,,55.1
43,51-100,Sun Yat-sen University,China (Mainland),69.8,22,38.4,51+,79.5,43,,,,,54.6
44,,Université Paris 1 Panthéon-Sorbonne,France,53.4,51+,52.6,31=,71.1,51+,,,,,53.9
45,38,National Kaohsiung University of Hospitality and Tourism,Taiwan,56.6,51+,48.5,44,80.9,37,,,,,53.8
46,101-150,Youngsan University,Republic of Korea,51.7,51+,51.5,35=,90.4,5,,,,,53.5
47,51-100,Fudan University,China (Mainland),58.2,51+,45.9,51+,81.5,34,,,,,53.2
48,101-150,Shanghai Jiao Tong University,China (Mainland),52.0,51+,50.2,38,75.9,51+,,,,,52.3
49,51-100,The Chinese University of Hong Kong (CUHK),"Hong Kong SAR, China",55.4,51+,47.5,49,69.9,51+,,,,,52.2
=50,42,Purdue University,United States of America,71.3,21,31.6,51+,74.1,51+,,,,,51.6
=50,=47,University of Strathclyde,United Kingdom,63.6,38=,36.9,51+,91.5,4,,,,,51.6
51-100,101-150,Alma Mater Studiorum - University of Bologna,Italy,52.9,51+,38.9,51+,70.9,51+,,,,,
51-100,51-100,Arizona State University,United States of America,60.3,46=,32.6,51+,69.6,51+,,,,,
51-100,51-100,Auckland University of Technology (AUT),New Zealand,60.3,46=,36.0,51+,76.3,51+,,,,,
51-100,101-150,Boğaziçi University,Türkiye,49.7,51+,41.1,51+,73.7,51+,,,,,
51-100,101-150,Boston University | School of Hospitality Administration,United States of America,53.5,51+,37.8,51+,86.1,12=,,,,,
