2025,2024,Institution,Country / Territory,Academic,AR rank,Employer,ER Rank,Citations,CPP Rank,H,H Rank,IRN,IRN Rank,Score
1,1,Harvard University,United States of America,100.0,1,100.0,1,90.7,31,100.0,1,100.0,1,98.1
2,2,University of Oxford,United Kingdom,95.8,2,97.1,3,93.1,13,92.6,7,98.1,2,95.0
3,3,Stanford University,United States of America,93.5,5,95.4,5,90.5,33=,93.2,4=,87.2,11,92.4
4,4,Johns Hopkins University,United States of America,91.9,6,80.8,25,90.0,42=,94.6,2,95.5,3,91.3
5,5,University of Cambridge,United Kingdom,93.9,4,96.6,4,90.9,28=,85.6,37=,77.6,48,90.3
6,9,"University of California, San Francisco (UCSF)",United States of America,91.1,7,68.8,127=,90.2,38,93.2,4=,92.5,6=,89.3
7,8,Imperial College London,United Kingdom,85.0,17,87.5,8,92.5,19=,92.9,6,92.5,6=,89.1
8,6,UCL,United Kingdom,85.8,12,83.3,17,92.9,14=,93.5,3,90.5,8,89.0
9,7,Karolinska Institute,Sweden,95.2,3,73.6,69=,87.0,110=,86.8,30,85.9,14,88.8
10,10,Yale University,United States of America,88.5,9,88.6,6=,88.9,59=,90.2,16=,80.1,32,88.1
11,11,Massachusetts Institute of Technology (MIT),United States of America,89.4,8,97.4,2,94.0,10,84.1,49,68.9,108=,88.0
12,12,"University of California, Los Angeles (UCLA)",United States of America,88.1,10,85.4,11,88.7,65=,90.3,14=,76.1,54,87.2
13,16,University of Pennsylvania,United States of America,87.3,11,81.9,19,88.6,67=,92.5,8,75.7,58,86.9
14,14,University of Toronto,Canada,84.2,22,84.7,13,88.4,70=,92.3,9,82.6,22,86.6
15,13,King's College London,United Kingdom,82.0,25,79.8,33,91.1,27,89.3,20,94.1,5,86.3
16,17,Duke University,United States of America,83.6,23,77.8,44,89.6,48=,91.0,10=,81.1,25,85.5
17,15,Columbia University,United States of America,82.4,24,81.8,20,89.4,52=,90.2,16=,83.2,19,85.4
18,=18,National University of Singapore (NUS),Singapore,85.5,14=,85.3,12,87.8,89=,82.9,63=,67.2,126=,83.6
19,25,University of Michigan-Ann Arbor,United States of America,80.7,27=,77.7,45=,88.1,76=,90.5,12=,76.5,52,83.4
20,22,The University of Edinburgh,United Kingdom,80.7,27=,80.0,31=,90.9,28=,83.4,56=,81.2,24,83.3
21,24,London School of Hygiene & Tropical Medicine,United Kingdom,79.6,30,62.8,201+,91.3,25=,85.3,40,95.0,4,82.9
22,23,"University of California, San Diego (UCSD)",United States of America,79.5,31,74.5,62=,89.5,51,89.5,19,75.5,60=,82.6
23,21,University of Washington,United States of America,77.1,41,69.7,117=,89.2,54=,91.0,10=,86.5,13,82.5
24,37,The University of Hong Kong,"Hong Kong SAR, China",85.3,16,78.5,41,92.9,14=,77.9,121=,61.7,188=,82.3
=25,28,The Chinese University of Hong Kong (CUHK),"Hong Kong SAR, China",84.3,21,74.2,64=,92.0,23=,80.9,85=,64.4,156=,82.2
=25,=18,The University of Melbourne,Australia,77.9,38=,80.9,21=,86.5,123=,88.0,25,80.8,26=,82.2
27,26,The University of Sydney,Australia,79.1,33,78.6,38=,87.1,106=,86.1,33,79.0,43,82.0
28,=18,McGill University,Canada,78.6,34=,78.2,42=,87.2,104=,84.6,44=,80.8,26=,81.7
=29,36,Peking University,China (Mainland),84.4,19=,83.7,15,83.2,201+,82.5,67=,63.5,166=,81.6
=29,,"University of California, Berkeley (UCB)",United States of America,84.5,18,88.6,6=,86.7,115=,75.0,163=,65.5,142=,81.6
31,=31,Cornell University,United States of America,75.8,44,80.9,21=,89.8,46=,88.1,24,72.7,77,81.3
32,=31,Ruprecht-Karls-Universität Heidelberg,Germany,78.2,36=,72.8,79=,86.0,136=,84.0,50,85.4,15,81.1
33,30,The University of Manchester,United Kingdom,75.5,46,80.3,27=,91.3,25=,83.5,54=,78.0,45=,81.0
34,=34,University of Chicago,United States of America,80.3,29,79.2,36,89.2,54=,83.3,58=,61.5,191=,80.7
35,=34,New York University (NYU),United States of America,76.8,42,78.6,38=,88.1,76=,86.6,31,69.4,102=,80.5
=36,33,KU Leuven,Belgium,72.8,64=,75.5,57,89.9,44=,86.0,34=,82.2,23,80.1
=36,29,University of Amsterdam,Netherlands,73.9,59,70.6,103=,89.9,44=,87.0,29,80.8,26=,80.1
=38,50,Emory University,United States of America,74.8,50,61.7,201+,88.3,73=,87.6,27=,86.6,12,79.9
=38,47,Seoul National University,Republic of Korea,81.3,26,84.2,14,83.7,201+,81.6,80,58.8,201+,79.9
=38,27,University of British Columbia,Canada,74.9,48=,80.9,21=,85.7,144=,83.8,52,79.9,34=,79.9
41,43,McMaster University,Canada,74.7,51=,68.8,127=,92.2,22,84.8,42=,75.0,66=,79.7
=42,=40,Erasmus University Rotterdam,Netherlands,77.8,40,66.0,174=,88.0,80=,85.6,37=,72.0,83=,79.6
=42,51,Northwestern University,United States of America,72.5,68,74.2,64=,90.5,33=,89.6,18,71.7,85,79.6
44,=48,University of Glasgow,United Kingdom,71.1,78,71.6,91=,95.0,7=,83.3,58=,79.2,41,79.2
45,=38,Sorbonne University,France,71.3,74=,75.3,58=,88.0,80=,85.6,37=,83.0,21,79.1
46,45,Washington University in St. Louis,United States of America,74.5,54=,60.7,201+,89.8,46=,88.6,21,74.5,71=,79.0
47,=40,Monash University,Australia,73.0,61=,75.0,61,89.6,48=,84.8,42=,72.3,79,78.8
48,42,The University of Tokyo,Japan,85.5,14=,86.6,9=,78.1,201+,71.8,201+,58.5,201+,78.7
49,59,University of Pittsburgh,United States of America,74.0,56=,61.1,201+,87.1,106=,88.3,22=,75.3,63=,78.3
50,=66,The University of Texas M. D. Anderson Cancer Center,United States of America,76.1,43,48.6,201+,92.7,17=,90.3,14=,62.5,179=,78.2
51,56,Boston University,United States of America,72.8,64=,74.0,67,87.7,96,83.3,58=,73.7,74,78.1
52,52,University of Copenhagen,Denmark,71.4,73,68.7,129=,86.4,126=,86.0,34=,80.5,30=,78.0
53,=38,Ludwig-Maximilians-Universität München,Germany,74.7,51=,72.5,81,84.5,199=,82.1,75=,74.6,69=,77.9
54,46,"University of North Carolina, Chapel Hill",United States of America,71.2,76=,70.6,103=,85.6,151=,85.0,41,80.6,29,77.7
55,=74,Yonsei University,Republic of Korea,79.3,32,79.3,35,82.6,201+,77.2,128,60.3,201+,77.6
=56,44,Baylor College of Medicine,United States of America,74.9,48=,58.7,201+,85.5,154=,82.5,67=,77.1,49=,77.1
=56,=48,Universitat de Barcelona,Spain,70.9,79,68.7,129=,87.8,89=,82.2,72=,79.1,42,77.1
58,53,Universidade de São Paulo,Brazil,73.0,61=,75.8,54=,79.0,201+,80.3,93=,83.1,20,77.0
=59,64,Fudan University,China (Mainland),78.6,34=,76.3,52=,81.9,201+,80.9,85=,53.0,201+,76.9
=59,57,Queen Mary University of London,United Kingdom,67.3,97,66.1,173,95.0,7=,82.2,72=,79.7,38,76.9
=59,=61,Tsinghua University,China (Mainland),77.9,38=,83.6,16,93.3,12,73.0,199,40.8,201+,76.9
=59,68,University of Bristol,United Kingdom,68.1,90=,71.0,96=,97.9,4,81.4,81=,66.7,131,76.9
63,54,The University of New South Wales (UNSW Sydney),Australia,69.3,82=,77.7,45=,85.1,171=,82.1,75=,76.8,51,76.6
64,58,Utrecht University,Netherlands,69.0,86,66.7,162=,87.6,97=,84.3,48,76.2,53,76.3
65,=61,Leiden University,Netherlands,69.1,85,63.9,201+,88.1,76=,83.1,61=,77.9,47,76.1
66,55,University of Zurich,Switzerland,69.6,81,69.6,119=,85.7,144=,82.7,66,75.6,59,76.0
67,=69,University of Birmingham,United Kingdom,66.3,103=,70.3,108=,90.6,32,81.2,84,80.0,33,75.9
68,60,Medizinische Universität Wien,Austria,72.7,67,62.2,201+,87.8,89=,82.4,71,64.6,153=,75.8
69,77,Maastricht University,Netherlands,72.8,64=,64.3,201+,85.6,151=,80.3,93=,69.9,98=,75.7
70,=74,Vanderbilt University,United States of America,64.8,126,64.3,201+,90.0,42=,88.3,22=,75.4,62,75.6
71,=83,Shanghai Jiao Tong University,China (Mainland),74.5,54=,77.3,49,81.2,201+,80.5,89=,55.8,201+,75.5
=72,=61,ETH Zurich - Swiss Federal Institute of Technology,Switzerland,75.7,45,86.6,9=,86.3,129=,70.8,201+,49.7,201+,75.3
=72,65,Kyoto University,Japan,78.2,36=,80.3,27=,81.0,201+,71.7,201+,54.4,201+,75.3
74,=72,University of Liverpool,United Kingdom,67.4,95=,67.5,150=,87.9,85=,77.4,126=,83.4,18,75.1
75,=66,The University of Queensland,Australia,68.2,89,73.0,78,84.6,195=,81.9,78,71.2,87,75.0
