2025,2024,Institution,Country / Territory,Academic,AR rank,Employer,ER Rank,Citations,CPP Rank,H,H Rank,IRN,IRN Rank,Score
1,1,University of Cambridge,United Kingdom,100.0,1,97.1,3,,,,,,,99.1
2,2,University of Oxford,United Kingdom,99.4,2,97.7,2,,,,,,,98.9
3,3,Harvard University,United States of America,98.3,3,100.0,1,,,,,,,98.8
4,4,Stanford University,United States of America,91.8,8,93.2,4,,,,,,,92.2
5,5,"University of California, Berkeley (UCB)",United States of America,94.9,4,85.5,9,,,,,,,92.1
6,6,Yale University,United States of America,93.3,6,89.1,6,,,,,,,92.0
7,9,Peking University,China (Mainland),93.5,5,84.2,10,,,,,,,90.7
8,7,The University of Tokyo,Japan,93.2,7,82.8,15=,,,,,,,90.1
9,8,"University of California, Los Angeles (UCLA)",United States of America,91.7,9,85.7,8,,,,,,,89.9
10,13,Massachusetts Institute of Technology (MIT),United States of America,88.0,17,93.1,5,,,,,,,89.5
11,11,Columbia University,United States of America,91.1,11,83.2,13,,,,,,,88.7
12,12,Princeton University,United States of America,91.5,10,81.7,21=,,,,,,,88.6
13,10,The University of Edinburgh,United Kingdom,91.0,12,81.1,25,,,,,,,88.0
14,=19,National University of Singapore (NUS),Singapore,87.2,20,85.8,7,,,,,,,86.8
15,15,University of Chicago,United States of America,89.4,14,79.8,31,,,,,,,86.5
16,17,UCL,United Kingdom,88.8,15,80.9,26,,,,,,,86.4
17,22,The University of Hong Kong,"Hong Kong SAR, China",89.5,13,78.8,34,,,,,,,86.3
18,16,University of Toronto,Canada,87.9,18,81.6,23,,,,,,,86.0
19,18,Seoul National University,Republic of Korea,88.4,16,80.1,30,,,,,,,85.9
20,23,New York University (NYU),United States of America,85.9,24,83.6,11,,,,,,,85.2
21,14,Universidad Nacional Autónoma de México (UNAM),Mexico,85.5,26=,81.8,20,,,,,,,84.4
22,26,Fudan University,China (Mainland),86.9,21,77.6,38=,,,,,,,84.1
23,30,University of British Columbia,Canada,85.0,32=,80.5,27,,,,,,,83.7
=24,28,The Chinese University of Hong Kong (CUHK),"Hong Kong SAR, China",87.5,19,74.6,58=,,,,,,,83.6
=24,=38,University of Pennsylvania,United States of America,86.3,22,77.3,40,,,,,,,83.6
26,27,King's College London,United Kingdom,85.2,30,79.6,32=,,,,,,,83.5
27,24,Kyoto University,Japan,86.1,23,76.9,43,,,,,,,83.3
28,44,Cornell University,United States of America,83.0,45,83.1,14,,,,,,,83.0
29,49,National Taiwan University (NTU),Taiwan,85.5,26=,76.6,46=,,,,,,,82.8
=30,=19,Sorbonne University,France,85.1,31,77.1,41,,,,,,,82.7
=30,37,Tsinghua University,China (Mainland),82.9,46=,82.1,18=,,,,,,,82.7
32,21,Universidad de Buenos Aires (UBA),Argentina,83.5,40,80.3,28=,,,,,,,82.5
=33,29,The University of Melbourne,Australia,83.2,43,80.3,28=,,,,,,,82.3
=33,=34,Yonsei University,Republic of Korea,84.7,34,76.7,44=,,,,,,,82.3
35,36,The University of Manchester,United Kingdom,82.4,51,81.7,21=,,,,,,,82.2
36,40,Korea University,Republic of Korea,84.5,35,76.0,53,,,,,,,82.0
37,=31,McGill University,Canada,83.3,42,77.8,37,,,,,,,81.7
38,=31,The University of Sydney,Australia,82.9,46=,77.6,38=,,,,,,,81.3
39,=34,Humboldt-Universität zu Berlin,Germany,85.4,29,71.1,89,,,,,,,81.1
=40,25,Lomonosov Moscow State University,Russian Federation,80.2,64=,82.2,17,,,,,,,80.8
=40,=42,Waseda University,Japan,83.8,39,73.8,66,,,,,,,80.8
42,56,"Nanyang Technological University, Singapore (NTU)",Singapore,80.1,66,82.1,18=,,,,,,,80.7
=43,=38,Alma Mater Studiorum - University of Bologna,Italy,85.5,26=,69.2,101+,,,,,,,80.6
=43,33,Freie Universitaet Berlin,Germany,85.6,25,69.0,101+,,,,,,,80.6
=43,=42,The Australian National University,Australia,82.2,52,76.7,44=,,,,,,,80.6
=43,50,University of Michigan-Ann Arbor,United States of America,83.1,44,74.8,56,,,,,,,80.6
47,=51,Duke University,United States of America,82.7,49,74.7,57,,,,,,,80.3
