2025,2024,Institution,Country / Territory,Academic,AR rank,Employer,ER Rank,Citations,CPP Rank,H,H Rank,IRN,IRN Rank,Score
1,1,Royal College of Music,United Kingdom,97.8,2,100.0,1,,,,,,,98.2
2,2,Royal Academy of Music,United Kingdom,97.1,3,96.4,3,,,,,,,97.0
3,4,Guildhall School of Music and Drama,United Kingdom,92.4,6,99.4,2,,,,,,,93.8
4,3,Conservatoire national supérieur de musique et de danse de Paris (CNSMDP),France,93.4,4,91.7,4,,,,,,,93.1
5,=5,Royal Northern College of Music (RNCM),United Kingdom,90.7,7,80.9,7,,,,,,,88.7
6,=5,Juilliard School,United States of America,100.0,1,42.4,20,,,,,,,88.5
7,13,The Royal Danish Academy of Music,Denmark,87.5,8,74.5,13,,,,,,,84.9
8,9,Curtis Institute of Music,United States of America,92.7,5,43.5,19,,,,,,,82.9
9,12,"Sibelius Academy, University of the Arts Helsinki",Finland,84.3,10,75.8,11,,,,,,,82.6
10,8,Moscow P. I. Tchaikovsky Conservatory,Russian Federation,80.2,17,90.3,5,,,,,,,82.2
11,19,Trinity Laban Conservatoire of Music and Dance,United Kingdom,82.1,13,78.9,9,,,,,,,81.5
12,15,The Liszt Academy of Music,Hungary,82.6,12,74.6,12,,,,,,,81.0
13,11,University of Rochester,United States of America,81.5,16,76.2,10,,,,,,,80.4
14,18,McGill University,Canada,84.6,9,61.1,17,,,,,,,79.9
15,7,Gnesin Russian Academy of Music,Russian Federation,78.1,18,80.5,8,,,,,,,78.6
16,,New York University (NYU),United States of America,82.0,14,64.3,15,,,,,,,78.5
17,10,Shanghai Conservatory of Music (SHCM),China (Mainland),81.9,15,63.2,16,,,,,,,78.2
18,,Universität für Musik und darstellende Kunst Wien,Austria,82.8,11,53.6,18,,,,,,,77.0
19,14,Rimsky-Korsakov St. Petersburg State Conservatory,Russian Federation,74.4,20,84.3,6,,,,,,,76.4
20,17,Conservatoire national supérieur de musique et de danse de Lyon,France,76.8,19,74.4,14,,,,,,,76.3
