2025,2024,Institution,Country / Territory,Academic,AR rank,Employer,ER Rank,Citations,CPP Rank,H,H Rank,IRN,IRN Rank,Score
1,1,Royal College of Music,United Kingdom,96.8,2,91.8,2,,,,,,,95.8
2,2,Royal Academy of Music,United Kingdom,96.7,3,89.7,6,,,,,,,95.3
3,3,Conservatoire national supérieur de musique et de danse de Paris (CNSMDP),France,93.1,5,89.0,8=,,,,,,,92.3
=4,5,Guildhall School of Music and Drama,United Kingdom,91.1,8,91.6,3,,,,,,,91.2
=4,4,Universität für Musik und darstellende Kunst Wien,Austria,96.5,4,69.8,51+,,,,,,,91.2
6,6,Royal Conservatoire of Scotland (Formerly Royal Scottish Academy of Music and Drama),United Kingdom,92.5,6,80.6,21,,,,,,,90.1
7,9,New York University (NYU),United States of America,91.3,7,82.7,15,,,,,,,89.6
8,7,Juilliard School,United States of America,100.0,1,31.1,51+,,,,,,,86.2
9,17,The Royal Danish Academy of Music,Denmark,85.6,13,77.6,28=,,,,,,,84.0
10,8,Royal Northern College of Music (RNCM),United Kingdom,87.2,11,69.6,51+,,,,,,,83.7
11,12,Curtis Institute of Music,United States of America,90.4,9,51.6,51+,,,,,,,82.6
=12,11,Moscow P. I. Tchaikovsky Conservatory,Russian Federation,79.9,25=,89.6,7,,,,,,,81.8
=12,=33,University Mozarteum Salzburg,Austria,83.6,17=,74.4,35,,,,,,,81.8
14,13,"Sibelius Academy, University of the Arts Helsinki",Finland,84.7,15,65.5,51+,,,,,,,80.9
15,19,University of Oxford,United Kingdom,78.6,28=,88.8,10,,,,,,,80.6
16,18,University of Cambridge,United Kingdom,78.4,30,89.0,8=,,,,,,,80.5
17,20,Harvard University,United States of America,77.3,36=,90.5,5,,,,,,,79.9
18,=25,Trinity Laban Conservatoire of Music and Dance,United Kingdom,83.2,20,66.1,51+,,,,,,,79.8
19,51-100,Korea National University of Arts,Republic of Korea,85.8,12,54.4,51+,,,,,,,79.5
20,28,Hong Kong Academy of Performing Arts,"Hong Kong SAR, China",83.4,19,63.3,51+,,,,,,,79.4
21,24,McGill University,Canada,82.3,21,65.0,51+,,,,,,,78.8
=22,=15,University of Rochester,United States of America,80.8,24,68.3,51+,,,,,,,78.3
=22,27,Yale University,United States of America,77.8,32,80.3,22=,,,,,,,78.3
24,22,The Liszt Academy of Music,Hungary,79.9,25=,70.8,46,,,,,,,78.1
25,=15,Rimsky-Korsakov St. Petersburg State Conservatory,Russian Federation,74.5,44=,91.2,4,,,,,,,77.8
=26,23,Conservatoire national supérieur de musique et de danse de Lyon,France,77.4,34=,77.6,28=,,,,,,,77.4
=26,10,Gnesin Russian Academy of Music,Russian Federation,76.3,39,81.9,18,,,,,,,77.4
=26,48,"Goldsmiths, University of London",United Kingdom,79.3,27,69.9,51+,,,,,,,77.4
29,39,Royal College of Music in Stockholm,Sweden,83.6,17=,52.0,51+,,,,,,,77.3
30,14,Royal Holloway University of London,United Kingdom,81.5,22,58.3,51+,,,,,,,76.9
31,45,"University of California, Los Angeles (UCLA)",United States of America,77.9,31,71.8,41,,,,,,,76.7
32,42,UCSI University,Malaysia,70.2,51+,100.0,1,,,,,,,76.2
=33,36,Central School of Speech & Drama,United Kingdom,88.0,10,28.1,51+,,,,,,,76.0
=33,21,Norwegian Academy of Music,Norway,77.4,34=,70.3,48,,,,,,,76.0
=33,37,Stanford University,United States of America,74.6,43,81.4,20,,,,,,,76.0
36,29,Columbia University,United States of America,74.2,46,76.9,30,,,,,,,74.7
37,32,University of Huddersfield,United Kingdom,75.9,40=,68.5,51+,,,,,,,74.4
38,35,Hochschule für Musik Hanns Eisler Berlin,Germany,85.4,14,28.4,51+,,,,,,,74.0
39,38,Northwestern University,United States of America,77.3,36=,59.3,51+,,,,,,,73.7
