2025,2024,Institution,Country / Territory,Academic,AR rank,Employer,ER Rank,Citations,CPP Rank,H,H Rank,IRN,IRN Rank,Score
1,1,Harvard University,United States of America,100.0,1,100.0,1,81.2,51+,,,,,98.1
2,2,University of Oxford,United Kingdom,97.3,5,97.8,2,83.7,38=,,,,,96.0
=3,6,National University of Singapore (NUS),Singapore,95.8,8,85.9,10,88.4,21,,,,,93.1
=3,5,Stanford University,United States of America,93.4,11,92.8,5,91.2,11,,,,,93.1
5,4,University of Cambridge,United Kingdom,94.8,9,94.9,3,77.0,51+,,,,,93.0
6,17,Yonsei University,Republic of Korea,98.5,2,77.2,41=,83.7,38=,,,,,92.8
7,3,The London School of Economics and Political Science (LSE),United Kingdom,96.3,7,88.0,6,76.8,51+,,,,,92.7
8,26,Seoul National University,Republic of Korea,97.7,4,80.9,27,68.8,51+,,,,,91.5
9,8,"University of California, Berkeley (UCB)",United States of America,92.7,13,85.4,11,91.8,8,,,,,91.2
10,=50,Renmin (People's) University of China,China (Mainland),98.0,3,64.0,51+,79.5,51+,,,,,89.4
11,21,The University of Hong Kong,"Hong Kong SAR, China",94.7,10,78.3,37=,72.0,51+,,,,,89.2
12,10,Massachusetts Institute of Technology (MIT),United States of America,89.9,18,94.5,4,70.5,51+,,,,,88.9
13,7,The University of Edinburgh,United Kingdom,93.0,12,76.6,46,78.2,51+,,,,,88.2
14,13,Columbia University,United States of America,88.9,22,87.2,7,84.6,33,,,,,88.1
15,19,Syracuse University,United States of America,96.5,6,55.2,51+,90.8,12,,,,,87.7
16,51-100,Tsinghua University,China (Mainland),89.3,20,81.0,25=,78.4,51+,,,,,86.6
17,12,Sciences Po,France,91.4,15,77.2,41=,70.5,51+,,,,,86.5
18,16,University of Toronto,Canada,87.2,29,85.1,12,82.3,47=,,,,,86.3
19,22,Princeton University,United States of America,88.6,23,83.6,15,74.5,51+,,,,,86.2
20,15,University of Chicago,United States of America,89.6,19,79.6,30,71.5,51+,,,,,85.8
21,=29,Utrecht University,Netherlands,91.3,16,58.7,51+,92.0,6,,,,,84.9
22,32,The University of Sydney,Australia,87.0,32,81.1,24,76.2,51+,,,,,84.7
=23,=27,Indiana University Bloomington,United States of America,90.2,17,66.8,51+,79.1,51+,,,,,84.4
=23,=29,The University of Tokyo,Japan,87.3,28,84.9,13,62.9,51+,,,,,84.4
25,51-100,Peking University,China (Mainland),87.1,30=,81.3,22=,69.9,51+,,,,,84.2
26,=40,Korea University,Republic of Korea,87.7,26,75.8,51+,74.0,51+,,,,,84.0
27,=42,National Taiwan University (NTU),Taiwan,89.0,21,73.9,51+,68.4,51+,,,,,83.9
=28,51-100,Sungkyunkwan University (SKKU),Republic of Korea,87.4,27,74.3,51+,78.0,51+,,,,,83.8
=28,14,The Australian National University,Australia,87.1,30=,78.3,37=,71.6,51+,,,,,83.8
=30,11,Stockholm University,Sweden,91.9,14,54.6,51+,83.7,38=,,,,,83.6
=30,25,UCL,United Kingdom,85.2,36,81.0,25=,77.7,51+,,,,,83.6
32,=27,King's College London,United Kingdom,84.9,37=,80.6,28,76.6,51+,,,,,83.2
33,=23,University of Bristol,United Kingdom,86.6,33,73.7,51+,75.2,51+,,,,,82.9
34,20,KU Leuven,Belgium,88.0,24=,66.0,51+,80.0,51+,,,,,82.8
35,=34,University of Michigan-Ann Arbor,United States of America,83.5,42=,76.7,45,85.4,29=,,,,,82.3
36,=50,Johns Hopkins University,United States of America,82.0,47,76.3,48=,92.8,3,,,,,81.9
37,51-100,City University of Hong Kong,"Hong Kong SAR, China",85.3,35,65.7,51+,84.8,32,,,,,81.3
38,=40,Leiden University,Netherlands,85.8,34,61.6,51+,88.6,19,,,,,81.2
39,18,University of Amsterdam,Netherlands,82.8,44,69.7,51+,82.0,51+,,,,,80.1
40,51-100,Fudan University,China (Mainland),80.4,49,81.7,21,73.7,51+,,,,,80.0
41,39,University of York,United Kingdom,84.4,39,62.8,51+,78.4,51+,,,,,79.5
42,48,Aarhus University,Denmark,83.5,42=,62.1,51+,84.9,31,,,,,79.4
43,=23,The University of Melbourne,Australia,77.7,51+,82.4,19,83.5,42,,,,,79.2
=44,51-100,New York University (NYU),United States of America,76.6,51+,83.9,14,85.4,29=,,,,,78.9
=44,=29,University of British Columbia,Canada,78.7,51+,79.0,33,80.1,51+,,,,,78.9
=46,=45,McGill University,Canada,79.0,51+,78.4,36,77.4,51+,,,,,78.7
=46,38,Università Commerciale Luigi Bocconi (Bocconi University),Italy,76.4,51+,80.3,29,91.9,7,,,,,78.7
=48,51-100,Duke University,United States of America,79.8,51+,75.4,51+,75.7,51+,,,,,78.5
=48,33,The University of Manchester,United Kingdom,78.1,51+,77.0,43=,84.1,36,,,,,78.5
=48,47,"University of California, Los Angeles (UCLA)",United States of America,76.9,51+,86.7,8,72.9,51+,,,,,78.5
51-100,51-100,Alma Mater Studiorum - University of Bologna,Italy,75.3,51+,74.9,51+,81.4,51+,,,,,
51-100,51-100,American University,United States of America,79.1,51+,58.2,51+,78.7,51+,,,,,
51-100,101-130,Arizona State University,United States of America,70.1,51+,70.3,51+,87.2,24,,,,,
51-100,,Beijing Normal University,China (Mainland),82.4,45,49.6,51+,73.5,51+,,,,,
51-100,51-100,Central European University,Austria,79.3,51+,62.2,51+,100.0,1,,,,,
51-100,,Chung-Ang University (CAU),Republic of Korea,76.6,51+,62.7,51+,80.0,51+,,,,,
51-100,51-100,Cornell University,United States of America,71.0,51+,78.5,35,89.6,15,,,,,
