2025,2024,Institution,Country / Territory,Academic,AR rank,Employer,ER Rank,Citations,CPP Rank,H,H Rank,IRN,IRN Rank,Score
1,1,Massachusetts Institute of Technology (MIT),United States of America,100.0,1,100.0,1=,93.7,4,100.0,1,,,98.7
2,2,Stanford University,United States of America,99.1,2,97.2,3,90.4,8=,98.5,3,,,97.1
3,3,Harvard University,United States of America,97.9,3,100.0,1=,91.1,5,95.5,5=,,,96.3
4,4,University of Cambridge,United Kingdom,96.7,5,96.4,5,87.9,21,95.5,5=,,,94.7
5,=6,"University of California, Berkeley (UCB)",United States of America,96.1,6,91.5,9,88.6,15,98.1,4,,,94.5
6,5,ETH Zurich - Swiss Federal Institute of Technology,Switzerland,94.8,8,95.6,6,88.9,12,93.3,8=,,,93.4
7,=6,University of Oxford,United Kingdom,95.8,7,96.5,4,85.0,51+,93.3,8=,,,93.2
8,9,Georgia Institute of Technology,United States of America,97.6,4,80.1,43=,83.4,51+,90.8,23=,,,91.7
9,=16,Tsinghua University,China (Mainland),92.6,11,84.9,20,88.7,14,95.5,5=,,,91.6
10,=10,National University of Singapore (NUS),Singapore,93.2,9,93.6,7,83.8,51+,91.3,19=,,,91.0
11,8,Imperial College London,United Kingdom,93.0,10,88.2,12,85.0,51+,91.3,19=,,,90.6
12,13,Carnegie Mellon University,United States of America,91.6,12=,83.5,24=,86.8,29=,92.8,11=,,,90.1
13,=10,Princeton University,United States of America,91.6,12=,86.8,16,90.4,8=,87.4,40=,,,90.0
14,,EPFL,Switzerland,90.8,14,93.5,8,85.4,49=,84.3,51+,,,88.7
15,12,Columbia University,United States of America,88.8,15,86.1,18,84.8,51+,93.3,8=,,,88.6
16,=16,"University of California, Los Angeles (UCLA)",United States of America,87.2,18,86.9,15,84.6,51+,92.8,11=,,,87.8
17,19,University of Toronto,Canada,86.0,22,88.0,13,85.8,45=,92.3,13=,,,87.4
18,14,University of Chicago,United States of America,87.4,17,82.0,32,85.1,51+,91.3,19=,,,87.2
19,15,University of Michigan-Ann Arbor,United States of America,86.6,19,79.9,45,81.7,51+,91.8,18,,,86.0
20,=16,Cornell University,United States of America,86.5,20=,86.2,17,82.1,51+,84.3,51+,,,85.2
21,35,Peking University,China (Mainland),86.5,20=,83.8,23,78.9,51+,86.8,46=,,,84.8
=22,36,Shanghai Jiao Tong University,China (Mainland),81.6,31,83.5,24=,85.6,47,92.3,13=,,,84.7
=22,23,Technical University of Munich,Germany,85.1,24,81.3,36,82.5,51+,87.4,40=,,,84.7
=24,=50,The University of Hong Kong,"Hong Kong SAR, China",83.0,26=,81.5,33,86.3,37=,86.2,51+,,,84.2
=24,22,University of Pennsylvania,United States of America,80.9,36,82.4,29=,86.1,41=,91.3,19=,,,84.2
26,43,The Hong Kong University of Science and Technology,"Hong Kong SAR, China",88.7,16,81.0,39,80.8,51+,76.8,51+,,,84.0
27,24,Duke University,United States of America,85.0,25,80.1,43=,80.8,51+,85.6,51+,,,83.8
28,=27,"Nanyang Technological University, Singapore (NTU)",Singapore,80.5,38,88.3,11,85.1,51+,87.4,40=,,,83.6
29,=30,University of Washington,United States of America,81.0,35,74.1,51+,87.1,24=,90.8,23=,,,83.5
30,=32,Purdue University,United States of America,83.0,26=,73.8,51+,83.2,51+,86.2,51+,,,82.8
31,51-100,The Hong Kong Polytechnic University,"Hong Kong SAR, China",74.3,51+,66.5,51+,94.7,3,98.9,2,,,82.5
32,21,Institut Polytechnique de Paris,France,81.4,32,86.0,19,77.5,51+,88.0,31=,,,82.4
=33,51-100,Fudan University,China (Mainland),79.9,40,79.8,46,84.2,51+,86.8,46=,,,82.1
=33,45,Northwestern University,United States of America,80.4,39,78.0,51+,86.8,29=,83.6,51+,,,82.1
=33,20,The University of Warwick,United Kingdom,79.6,41,74.7,51+,83.9,51+,90.2,26=,,,82.1
=36,=25,Sorbonne University,France,82.9,28,80.5,42,77.7,51+,85.0,51+,,,82.0
=36,=30,Yale University,United States of America,80.8,37,89.7,10,78.9,51+,84.3,51+,,,82.0
=38,=32,Université de Montréal,Canada,76.0,51+,78.7,51+,87.1,24=,92.3,13=,,,81.8
=38,=25,Université PSL,France,76.3,51+,82.8,27,86.2,39=,90.8,23=,,,81.8
40,34,The University of Tokyo,Japan,85.7,23,83.1,26,75.1,51+,77.6,51+,,,81.7
=41,=37,Delft University of Technology,Netherlands,77.8,45=,82.7,28,86.0,44,86.2,51+,,,81.6
=41,=40,New York University (NYU),United States of America,77.8,45=,78.6,51+,85.4,49=,88.6,30,,,81.6
=41,51-100,The Chinese University of Hong Kong (CUHK),"Hong Kong SAR, China",82.4,29,75.9,51+,79.6,51+,84.3,51+,,,81.6
=41,29,UCL,United Kingdom,78.1,43,79.6,47,86.1,41=,86.8,46=,,,81.6
45,51-100,Zhejiang University,China (Mainland),76.9,49=,78.2,51+,84.2,51+,87.4,40=,,,80.6
46,47,University of British Columbia,Canada,77.7,47,84.2,21,82.9,51+,83.0,51+,,,80.5
47,51-100,University of Illinois at Urbana-Champaign,United States of America,78.7,42,77.3,51+,80.2,51+,86.2,51+,,,80.4
=48,=40,Johns Hopkins University,United States of America,81.1,34,77.6,51+,80.4,51+,79.3,51+,,,80.3
=48,=27,Université Paris-Saclay,France,75.6,51+,81.4,34=,79.4,51+,92.3,13=,,,80.3
=50,51-100,Seoul National University,Republic of Korea,82.1,30,78.4,51+,75.8,51+,80.8,51+,,,80.2
=50,42,University of Wisconsin-Madison,United States of America,81.3,33,72.9,51+,78.3,51+,83.0,51+,,,80.2
51-100,51-100,Alma Mater Studiorum - University of Bologna,Italy,69.6,51+,77.2,51+,78.4,51+,80.0,51+,,,
51-100,51-100,Arizona State University,United States of America,67.5,51+,67.4,51+,87.3,23,86.8,46=,,,
51-100,51-100,City University of Hong Kong,"Hong Kong SAR, China",75.6,51+,63.9,51+,81.1,51+,81.5,51+,,,
51-100,=50,Eindhoven University of Technology,Netherlands,77.1,48,74.0,51+,81.0,51+,81.5,51+,,,
51-100,44,Erasmus University Rotterdam,Netherlands,74.0,51+,73.9,51+,89.5,11,82.3,51+,,,
51-100,=50,Humboldt-Universität zu Berlin,Germany,76.9,49=,65.8,51+,77.4,51+,75.0,51+,,,
51-100,51-100,Indian Institute of Technology Delhi (IITD),India,72.1,51+,78.2,51+,83.0,51+,80.8,51+,,,
51-100,101-150,Indian Institute of Technology Kharagpur (IIT-KGP),India,68.1,51+,77.9,51+,83.5,51+,81.5,51+,,,
51-100,101-150,King Abdullah University of Science & Technology (KAUST),Saudi Arabia,68.6,51+,66.7,51+,83.5,51+,80.0,51+,,,
51-100,101-150,Korea University,Republic of Korea,78.0,44,71.1,51+,88.3,17,68.8,51+,,,
51-100,51-100,KTH Royal Institute of Technology,Sweden,74.0,51+,73.4,51+,78.7,51+,75.9,51+,,,
51-100,49,KU Leuven,Belgium,76.4,51+,81.2,37,81.2,51+,85.6,51+,,,
51-100,51-100,Kyoto University,Japan,71.7,51+,74.3,51+,81.1,51+,77.6,51+,,,
51-100,51-100,Lancaster University,United Kingdom,72.8,51+,63.5,51+,80.7,51+,83.0,51+,,,
51-100,51-100,Ludwig-Maximilians-Universität München,Germany,73.9,51+,70.8,51+,82.4,51+,80.8,51+,,,
51-100,51-100,McGill University,Canada,70.3,51+,87.2,14,85.2,51+,88.0,31=,,,
51-100,51-100,Monash University,Australia,67.1,51+,77.1,51+,86.4,36,88.0,31=,,,
51-100,51-100,Pennsylvania State University,United States of America,74.2,51+,70.3,51+,80.3,51+,86.2,51+,,,
51-100,51-100,Sapienza University of Rome,Italy,73.3,51+,78.8,50=,72.9,51+,79.3,51+,,,
51-100,51-100,Technische Universität Berlin (TU Berlin),Germany,76.8,51+,66.7,51+,86.1,41=,75.0,51+,,,
51-100,51-100,Texas A&M University,United States of America,75.7,51+,71.0,51+,81.3,51+,85.6,51+,,,
51-100,51-100,The Australian National University,Australia,72.5,51+,75.9,51+,76.5,51+,74.1,51+,,,
51-100,=37,The London School of Economics and Political Science (LSE),United Kingdom,76.4,51+,84.1,22,79.8,51+,76.8,51+,,,
51-100,=37,The University of Edinburgh,United Kingdom,74.5,51+,77.7,51+,84.9,51+,86.8,46=,,,
51-100,46,The University of Manchester,United Kingdom,76.1,51+,77.5,51+,83.0,51+,88.0,31=,,,
51-100,51-100,The University of Melbourne,Australia,72.7,51+,81.4,34=,84.4,51+,87.4,40=,,,
51-100,51-100,The University of New South Wales (UNSW Sydney),Australia,69.4,51+,79.0,49,83.4,51+,83.0,51+,,,
51-100,101-150,The University of Queensland,Australia,64.2,51+,72.0,51+,95.2,2,86.2,51+,,,
51-100,51-100,The University of Sydney,Australia,73.8,51+,78.8,50=,82.1,51+,80.8,51+,,,
51-100,51-100,Universidade de São Paulo,Brazil,71.9,51+,81.1,38,71.3,51+,83.0,51+,,,
51-100,51-100,Université catholique de Louvain (UCLouvain),Belgium,75.8,51+,71.1,51+,76.5,51+,71.0,51+,,,
51-100,51-100,University of Amsterdam,Netherlands,65.9,51+,72.9,51+,85.4,49=,85.0,51+,,,
51-100,51-100,University of Bristol,United Kingdom,65.6,51+,69.1,51+,90.6,7,83.6,51+,,,
51-100,51-100,"University of California, San Diego (UCSD)",United States of America,69.3,51+,71.7,51+,82.5,51+,82.3,51+,,,
51-100,51-100,University of Copenhagen,Denmark,71.8,51+,69.9,51+,80.4,51+,80.0,51+,,,
51-100,101-150,University of Florida,United States of America,69.0,51+,67.8,51+,81.7,51+,84.3,51+,,,
51-100,101-150,University of Leeds,United Kingdom,67.0,51+,68.5,51+,87.0,26=,80.8,51+,,,
51-100,51-100,University of Minnesota Twin Cities,United States of America,67.7,51+,65.5,51+,87.5,22,88.0,31=,,,
51-100,51-100,"University of North Carolina, Chapel Hill",United States of America,76.7,51+,67.9,51+,82.8,51+,83.6,51+,,,
51-100,101-150,University of Nottingham,United Kingdom,64.2,51+,66.3,51+,88.1,19,85.6,51+,,,
51-100,51-100,University of Science and Technology of China,China (Mainland),75.8,51+,64.9,51+,83.3,51+,90.2,26=,,,
51-100,48,University of Southampton,United Kingdom,72.4,51+,66.6,51+,86.2,39=,83.0,51+,,,
51-100,51-100,University of Southern California,United States of America,64.4,51+,68.4,51+,88.4,16,87.4,40=,,,
51-100,101-150,University of Technology Sydney,Australia,69.4,51+,65.9,51+,81.8,51+,81.5,51+,,,
51-100,=50,University of Texas at Austin,United States of America,74.6,51+,76.7,51+,83.4,51+,83.6,51+,,,
51-100,51-100,University of Vienna,Austria,69.1,51+,60.5,51+,82.1,51+,85.6,51+,,,
51-100,51-100,University of Waterloo,Canada,74.7,51+,76.2,51+,76.6,51+,80.8,51+,,,
51-100,101-150,Virginia Polytechnic Institute and State University,United States of America,69.5,51+,61.8,51+,81.9,51+,81.5,51+,,,
51-100,51-100,Yonsei University,Republic of Korea,75.0,51+,74.2,51+,79.7,51+,77.6,51+,,,
101-150,101-150,Aarhus University,Denmark,70.2,51+,62.8,51+,77.1,51+,75.0,51+,,,
101-150,101-150,Boston University,United States of America,60.5,51+,70.2,51+,83.0,51+,81.5,51+,,,
101-150,101-150,Brown University,United States of America,70.0,51+,74.5,51+,80.9,51+,62.3,51+,,,
101-150,101-150,Chalmers University of Technology,Sweden,64.4,51+,61.9,51+,84.1,51+,80.0,51+,,,
101-150,151-200,Harbin Institute of Technology,China (Mainland),60.7,51+,59.5,51+,86.6,34,84.3,51+,,,
101-150,101-150,Huazhong University of Science and Technology,China (Mainland),62.1,51+,66.9,51+,89.8,10,88.0,31=,,,
101-150,101-150,IMT Atlantique,France,60.9,51+,72.1,51+,90.9,6,75.0,51+,,,
101-150,51-100,Indian Institute of Technology Bombay (IITB),India,74.9,51+,82.3,31,67.4,51+,69.9,51+,,,
101-150,101-150,Indian Institute of Technology Kanpur (IITK),India,68.5,51+,78.0,51+,68.4,51+,75.9,51+,,,
101-150,101-150,Indian Institute of Technology Madras (IITM),India,70.7,51+,77.9,51+,67.8,51+,71.0,51+,,,
101-150,101-150,Iowa State University,United States of America,61.5,51+,60.0,51+,82.1,51+,80.0,51+,,,
101-150,101-150,King Abdulaziz University (KAU),Saudi Arabia,61.8,51+,65.0,51+,85.5,48,89.1,29,,,
101-150,51-100,"KIT, Karlsruhe Institute of Technology",Germany,67.6,51+,66.3,51+,83.8,51+,75.9,51+,,,
101-150,101-150,McMaster University,Canada,63.2,51+,66.4,51+,80.4,51+,77.6,51+,,,
101-150,51-100,Michigan State University,United States of America,64.8,51+,70.0,51+,83.4,51+,82.3,51+,,,
101-150,101-150,Middle East Technical University,Türkiye,65.1,51+,64.7,51+,73.0,51+,80.0,51+,,,
101-150,151-200,Nanjing University,China (Mainland),68.9,51+,63.5,51+,80.6,51+,77.6,51+,,,
101-150,,National Taiwan University (NTU),Taiwan,74.0,51+,76.9,51+,66.9,51+,68.8,51+,,,
101-150,51-100,North Carolina State University,United States of America,67.9,51+,68.6,51+,77.9,51+,82.3,51+,,,
101-150,101-150,Pontificia Universidad Católica de Chile (UC),Chile,72.0,51+,80.7,40=,72.8,51+,73.1,51+,,,
101-150,151-200,Renmin (People's) University of China,China (Mainland),67.3,51+,70.1,51+,73.0,51+,72.1,51+,,,
101-150,151-200,Rutgers University–New Brunswick,United States of America,64.7,51+,65.0,51+,78.7,51+,78.5,51+,,,
101-150,101-150,RWTH Aachen University,Germany,64.8,51+,68.7,51+,75.1,51+,75.0,51+,,,
101-150,151-200,Sun Yat-sen University,China (Mainland),63.7,51+,67.2,51+,84.5,51+,79.3,51+,,,
101-150,51-100,Technion - Israel Institute of Technology,Israel,68.8,51+,56.1,51+,81.9,51+,76.8,51+,,,
101-150,,Tecnológico de Monterrey,Mexico,72.3,51+,78.8,50=,72.8,51+,74.1,51+,,,
101-150,101-150,The Ohio State University,United States of America,62.5,51+,65.8,51+,80.8,51+,83.6,51+,,,
101-150,101-150,The University of Auckland,New Zealand,62.3,51+,72.8,51+,82.2,51+,75.0,51+,,,
101-150,151-200,The University of Sheffield,United Kingdom,65.6,51+,63.4,51+,82.9,51+,80.8,51+,,,
101-150,51-100,Tokyo Institute of Technology (Tokyo Tech),Japan,74.7,51+,73.1,51+,73.2,51+,68.8,51+,,,
101-150,151-200,Tongji University,China (Mainland),63.3,51+,58.2,51+,88.8,13,89.7,28,,,
101-150,,Universidad de Chile,Chile,66.6,51+,79.4,48,70.2,51+,71.0,51+,,,
101-150,101-150,Universidad Nacional Autónoma de México (UNAM),Mexico,68.8,51+,77.0,51+,69.5,51+,68.8,51+,,,
101-150,51-100,Università Commerciale Luigi Bocconi (Bocconi University),Italy,68.4,51+,80.7,40=,71.0,51+,71.0,51+,,,
101-150,51-100,Università di Padova,Italy,66.7,51+,75.7,51+,81.5,51+,80.8,51+,,,
101-150,101-150,Universitat Politècnica de Catalunya · BarcelonaTech (UPC),Spain,70.9,51+,65.5,51+,72.3,51+,75.0,51+,,,
101-150,101-150,Université Grenoble Alpes,France,61.4,51+,69.1,51+,88.0,20,83.6,51+,,,
101-150,101-150,Université Paris Cité,France,63.0,51+,55.6,51+,76.8,51+,86.8,46=,,,
101-150,101-150,Université Paul Sabatier Toulouse III,France,67.1,51+,54.2,51+,77.9,51+,80.8,51+,,,
101-150,51-100,"University of California, Davis",United States of America,64.2,51+,71.1,51+,81.4,51+,80.8,51+,,,
101-150,101-150,University of Lisbon,Portugal,63.1,51+,56.7,51+,80.9,51+,83.6,51+,,,
101-150,101-150,University of Liverpool,United Kingdom,66.2,51+,62.1,51+,84.6,51+,78.5,51+,,,
101-150,101-150,"University of Maryland, College Park",United States of America,61.5,51+,70.5,51+,83.3,51+,86.8,46=,,,
101-150,101-150,University of Pisa,Italy,69.3,51+,64.8,51+,74.1,51+,71.0,51+,,,
101-150,151-200,University of Texas Dallas,United States of America,60.5,51+,60.5,51+,86.7,33,83.0,51+,,,
101-150,51-100,University of Zurich,Switzerland,62.4,51+,70.4,51+,83.1,51+,82.3,51+,,,
101-150,101-150,Utrecht University,Netherlands,60.6,51+,64.7,51+,88.2,18,86.2,51+,,,
101-150,101-150,Vrije Universiteit Amsterdam,Netherlands,64.8,51+,63.6,51+,80.6,51+,79.3,51+,,,
101-150,151-200,Wuhan University,China (Mainland),61.6,51+,71.0,51+,81.7,51+,83.6,51+,,,
101-150,151-200,Xi’an Jiaotong University,China (Mainland),64.2,51+,68.5,51+,84.3,51+,85.0,51+,,,
151-200,201-250,Beihang University (former BUAA),China (Mainland),57.0,51+,56.2,51+,86.8,29=,86.8,46=,,,
151-200,201-250,Beijing Institute of Technology,China (Mainland),54.2,51+,67.8,51+,84.8,51+,88.0,31=,,,
151-200,201-250,Beijing Jiaotong University,China (Mainland),56.7,51+,48.4,51+,80.6,51+,83.6,51+,,,
151-200,151-200,Cairo University,Egypt,65.3,51+,64.1,51+,72.7,51+,75.9,51+,,,
151-200,201-250,Cardiff University,United Kingdom,58.9,51+,58.7,51+,84.5,51+,80.8,51+,,,
151-200,201-250,Copenhagen Business School,Denmark,62.5,51+,65.8,51+,74.0,51+,73.1,51+,,,
151-200,151-200,Hanyang University,Republic of Korea,68.2,51+,67.0,51+,68.1,51+,67.6,51+,,,
151-200,101-150,HSE University,Russian Federation,61.8,51+,73.2,51+,70.2,51+,77.6,51+,,,
151-200,151-200,Indian Statistical Institute,India,66.3,51+,53.3,51+,65.3,51+,77.6,51+,,,
151-200,101-150,King Fahd University of Petroleum & Minerals,Saudi Arabia,64.7,51+,68.7,51+,70.6,51+,68.8,51+,,,
151-200,,King's College London,United Kingdom,61.9,51+,76.6,51+,77.4,51+,71.0,51+,,,
151-200,151-200,Leiden University,Netherlands,58.1,51+,63.9,51+,78.7,51+,77.6,51+,,,
151-200,101-150,Lomonosov Moscow State University,Russian Federation,73.8,51+,82.4,29=,52.9,51+,60.8,51+,,,
151-200,201-250,London School of Hygiene & Tropical Medicine,United Kingdom,66.6,51+,54.0,51+,67.8,51+,68.8,51+,,,
151-200,151-200,Loughborough University,United Kingdom,58.5,51+,67.0,51+,79.6,51+,75.0,51+,,,
151-200,101-150,Lund University,Sweden,61.0,51+,63.0,51+,77.8,51+,78.5,51+,,,
151-200,201-250,Nankai University,China (Mainland),62.2,51+,53.1,51+,80.5,51+,83.0,51+,,,
151-200,201-250,National Technical University of Athens,Greece,59.5,51+,71.2,51+,71.5,51+,75.9,51+,,,
151-200,151-200,National Tsing Hua University,Taiwan,70.8,51+,71.9,51+,58.7,51+,60.8,51+,,,
151-200,151-200,Newcastle University,United Kingdom,59.7,51+,60.8,51+,77.8,51+,74.1,51+,,,
151-200,101-150,Queensland University of Technology (QUT),Australia,62.3,51+,62.8,51+,75.4,51+,74.1,51+,,,
151-200,201-250,RMIT University,Australia,56.9,51+,69.0,51+,82.7,51+,83.6,51+,,,
151-200,201-250,Singapore Management University,Singapore,61.0,51+,63.9,51+,75.8,51+,69.9,51+,,,
151-200,201-250,Southeast University,China (Mainland),58.4,51+,49.6,51+,85.4,49=,86.2,51+,,,
151-200,101-150,Stockholm University,Sweden,63.9,51+,57.8,51+,73.5,51+,74.1,51+,,,
151-200,201-250,Technische Universität Dresden,Germany,62.6,51+,56.5,51+,74.8,51+,75.0,51+,,,
151-200,151-200,Technische Universität Wien,Austria,69.1,51+,64.8,51+,63.5,51+,72.1,51+,,,
151-200,201-250,Tel Aviv University,Israel,60.4,51+,48.7,51+,79.2,51+,76.8,51+,,,
151-200,151-200,The University of Osaka,Japan,64.7,51+,67.8,51+,73.4,51+,67.6,51+,,,
151-200,101-150,Tilburg University,Netherlands,59.2,51+,69.1,51+,73.0,51+,77.6,51+,,,
151-200,101-150,Universidad Carlos III de Madrid (UC3M),Spain,68.4,51+,68.9,51+,69.0,51+,67.6,51+,,,
151-200,151-200,Universidad de Sevilla,Spain,63.1,51+,45.4,51+,75.9,51+,75.9,51+,,,
151-200,101-150,Universidade Estadual de Campinas (Unicamp),Brazil,65.5,51+,76.7,51+,64.5,51+,67.6,51+,,,
151-200,101-150,Universität Mannheim,Germany,64.3,51+,64.7,51+,62.9,51+,74.1,51+,,,
151-200,151-200,Universitat Politècnica de València,Spain,61.9,51+,57.4,51+,76.9,51+,80.8,51+,,,
151-200,151-200,Université de Montpellier,France,52.2,51+,50.3,51+,100.0,1,86.8,46=,,,
151-200,101-150,Universite libre de Bruxelles,Belgium,60.1,51+,69.4,51+,76.7,51+,73.1,51+,,,
151-200,151-200,Universiti Malaya (UM),Malaysia,64.1,51+,66.9,51+,72.6,51+,74.1,51+,,,
151-200,151-200,University of Alberta,Canada,61.9,51+,67.2,51+,76.6,51+,75.0,51+,,,
151-200,101-150,University of Bath,United Kingdom,60.3,51+,67.7,51+,79.3,51+,78.5,51+,,,
151-200,201-250,"University of California, Irvine",United States of America,55.9,51+,66.8,51+,82.8,51+,75.0,51+,,,
151-200,101-150,University of Göttingen,Germany,63.0,51+,54.1,51+,74.0,51+,75.0,51+,,,
