2025,2024,Institution,Country / Territory,Academic,AR rank,Employer,ER Rank,Citations,CPP Rank,H,H Rank,IRN,IRN Rank,Score
1,3,University of Notre Dame,United States of America,100.0,1,62.7,51+,85.8,51+,85.0,15=,,,93.4
2,1,Harvard University,United States of America,89.8,11,96.3,3,96.0,6,95.8,3,,,91.7
3,2,University of Oxford,United Kingdom,92.2,5,91.8,4,84.3,51+,90.9,7=,,,91.2
4,4,University of Cambridge,United Kingdom,91.6,6,89.2,6,84.4,51+,89.5,10,,,90.4
5,9,Duke University,United States of America,90.8,8=,67.0,44=,98.5,3,96.9,2,,,89.8
6,7,Durham University,United Kingdom,94.0,3,68.4,40,86.7,41=,77.6,42=,,,89.1
7,12,Yale University,United States of America,87.8,13,86.8,9,87.6,37,90.9,7=,,,88.0
8,10,The University of Edinburgh,United Kingdom,89.0,12,71.4,30,89.6,28,92.2,5=,,,87.6
9,8,University of Chicago,United States of America,92.9,4,70.3,33=,78.4,51+,75.4,51+,,,87.4
10,18,University of Toronto,Canada,86.8,15=,80.1,17,88.6,32,94.6,4,,,87.1
11,13,Ruprecht-Karls-Universität Heidelberg,Germany,91.4,7,76.8,22,77.0,51+,73.1,51+,,,86.7
12,5,Eberhard Karls Universität Tübingen,Germany,94.9,2,54.3,51+,73.6,51+,67.7,51+,,,86.0
13,11,Boston College,United States of America,90.8,8=,53.9,51+,86.6,43=,81.5,24=,,,85.8
14,14,University of St Andrews,United Kingdom,87.4,14,70.3,33=,83.9,51+,81.5,24=,,,84.8
15,6,KU Leuven,Belgium,89.9,10,59.4,51+,76.9,51+,77.6,42=,,,84.3
16,15,Princeton University,United States of America,85.0,17,83.6,14,86.0,50,75.4,51+,,,84.0
17,41,Yonsei University,Republic of Korea,86.8,15=,87.0,8,71.6,51+,64.6,51+,,,83.1
18,17,"University of California, Berkeley (UCB)",United States of America,80.7,22,65.1,50,94.9,7,81.5,24=,,,80.6
19,51-100,Columbia University,United States of America,79.6,24,71.8,28=,89.4,29=,77.6,42=,,,79.6
20,16,The Hebrew University of Jerusalem,Israel,82.3,19,46.6,51+,79.5,51+,83.3,20=,,,78.6
21,20,Emory University,United States of America,80.9,20=,58.5,51+,81.9,51+,75.4,51+,,,78.2
22,28,Australian Catholic University,Australia,80.5,23,37.7,51+,90.2,27,88.1,11=,,,78.0
23,38,The University of Sydney,Australia,73.4,40,84.6,12,94.6,9,83.3,20=,,,77.6
24,23,Westfälische Wilhelms-Universität Münster,Germany,79.4,25,56.7,51+,82.0,51+,75.4,51+,,,77.0
25,101-140,Seoul National University,Republic of Korea,77.7,27=,73.2,25,82.1,51+,67.7,51+,,,76.7
26,25,University of Aberdeen,United Kingdom,75.6,33,65.4,48,86.1,47=,79.6,32=,,,76.0
27,51-100,McGill University,Canada,75.9,32,64.4,51+,83.8,51+,77.6,42=,,,75.7
28,24,Ludwig-Maximilians-Universität München,Germany,80.9,20=,51.5,51+,71.7,51+,64.6,51+,,,75.4
29,21,University of Vienna,Austria,77.5,29,55.6,51+,79.4,51+,75.4,51+,,,75.3
30,19,Université catholique de Louvain (UCLouvain),Belgium,82.5,18,46.1,51+,70.6,51+,57.2,51+,,,75.1
31,26,Humboldt-Universität zu Berlin,Germany,77.7,27=,58.9,51+,86.1,47=,61.1,51+,,,75.0
32,47,The Chinese University of Hong Kong (CUHK),"Hong Kong SAR, China",74.9,36=,72.7,27,81.7,51+,67.7,51+,,,74.6
33,=36,Boston University,United States of America,72.1,42=,68.0,41,89.1,31,83.3,20=,,,74.5
34,29,Universidad Pontificia Comillas,Spain,75.3,35,44.8,51+,90.9,22,77.6,42=,,,74.0
35,33,King's College London,United Kingdom,74.9,36=,63.3,51+,76.3,51+,64.6,51+,,,72.9
36,51-100,The Australian National University,Australia,69.8,50,80.3,16,82.6,51+,75.4,51+,,,72.7
=37,50,Leiden University,Netherlands,74.8,38,50.5,51+,81.8,51+,70.5,51+,,,72.6
=37,42,University of Oslo,Norway,71.2,47,55.8,51+,92.6,17,79.6,32=,,,72.6
=39,51-100,Kyoto University,Japan,78.1,26,61.2,51+,64.8,51+,52.7,51+,,,72.5
=39,51-100,University of Michigan-Ann Arbor,United States of America,70.3,49,55.7,51+,93.9,11,83.3,20=,,,72.5
=39,35,Vanderbilt University,United States of America,76.0,31,45.7,51+,79.9,51+,67.7,51+,,,72.5
=39,27,Vrije Universiteit Amsterdam,Netherlands,75.5,34,41.6,51+,79.1,51+,75.4,51+,,,72.5
43,31,University of Navarra,Spain,72.1,42=,56.4,51+,83.2,51+,79.6,32=,,,72.4
44,51-100,University of Groningen,Netherlands,71.5,46,38.6,51+,94.7,8,85.0,15=,,,71.9
=45,39,University of Birmingham,United Kingdom,67.2,51+,62.5,51+,93.3,12,90.9,7=,,,71.7
=45,22,University of Helsinki,Finland,65.4,51+,75.3,24,91.2,21,92.2,5=,,,71.7
47,34,Pontificia Universidad Católica de Chile (UC),Chile,67.7,51+,84.8,11,80.9,51+,73.1,51+,,,71.3
48,101-140,Fudan University,China (Mainland),74.3,39,62.9,51+,69.4,51+,57.2,51+,,,71.0
49,=36,Radboud University,Netherlands,62.9,51+,99.5,2,87.3,38,81.5,24=,,,70.9
50,40,Stanford University,United States of America,65.2,51+,89.0,7,84.8,51+,77.6,42=,,,70.8
51-100,51-100,Aarhus University,Denmark,63.3,51+,31.5,51+,91.9,19,86.6,14,,,
51-100,51-100,Baylor University,United States of America,61.6,51+,25.3,51+,96.1,5,98.0,1,,,
51-100,51-100,Brown University,United States of America,61.4,51+,70.2,35,67.2,51+,61.1,51+,,,
51-100,48,Catholic University of America,United States of America,70.6,48,36.0,51+,75.8,51+,64.6,51+,,,
51-100,,Ewha Womans University,Republic of Korea,63.8,51+,79.4,19,70.2,51+,47.3,51+,,,
51-100,51-100,Fordham University,United States of America,63.4,51+,32.5,51+,94.3,10,73.1,51+,,,
51-100,51-100,Freie Universitaet Berlin,Germany,64.3,51+,56.6,51+,71.5,51+,61.1,51+,,,
51-100,51-100,Gadjah Mada University,Indonesia,64.3,51+,69.4,38,82.0,51+,67.7,51+,,,
51-100,=43,Georgetown University,United States of America,68.9,51+,55.1,51+,80.9,51+,70.5,51+,,,
51-100,32,IRN Islamic University Malaysia (IIUM),Malaysia,72.1,42=,60.8,51+,74.2,51+,61.1,51+,,,
51-100,101-140,Jawaharlal Nehru University,India,71.8,45,61.8,51+,41.9,51+,40.8,51+,,,
51-100,51-100,Lund University,Sweden,67.0,51+,51.9,51+,86.2,46,70.5,51+,,,
51-100,51-100,Macquarie University,Australia,59.4,51+,61.7,51+,80.1,51+,67.7,51+,,,
51-100,51-100,Monash University,Australia,58.3,51+,78.7,20,90.3,25=,81.5,24=,,,
51-100,101-140,Qatar University,Qatar,64.4,51+,56.8,51+,60.1,51+,57.2,51+,,,
51-100,,Renmin (People's) University of China,China (Mainland),64.1,51+,50.1,51+,72.8,51+,64.6,51+,,,
51-100,101-140,Ruhr-Universität Bochum,Germany,59.1,51+,59.1,51+,85.2,51+,67.7,51+,,,
51-100,51-100,Sapienza University of Rome,Italy,67.7,51+,54.4,51+,63.3,51+,52.7,51+,,,
51-100,51-100,SOAS University of London,United Kingdom,69.4,51+,60.3,51+,84.8,51+,75.4,51+,,,
51-100,51-100,"Sofia University ""St. Kliment Ohridski""",Bulgaria,58.4,51+,100.0,1,70.0,51+,52.7,51+,,,
51-100,51-100,Tel Aviv University,Israel,68.0,51+,30.5,51+,78.1,51+,77.6,42=,,,
51-100,101-140,The University of Auckland,New Zealand,66.4,51+,82.2,15,78.9,51+,67.7,51+,,,
51-100,51-100,The University of Exeter,United Kingdom,65.5,51+,53.7,51+,84.8,51+,75.4,51+,,,
51-100,101-140,The University of Hong Kong,"Hong Kong SAR, China",66.5,51+,79.7,18,74.4,51+,70.5,51+,,,
51-100,51-100,The University of Manchester,United Kingdom,65.3,51+,70.8,32,85.5,51+,73.1,51+,,,
51-100,51-100,The University of Melbourne,Australia,65.2,51+,84.5,13,88.0,34,75.4,51+,,,
51-100,46,The University of Tokyo,Japan,72.6,41,69.1,39,56.0,51+,40.8,51+,,,
51-100,49,"Trinity College Dublin, The University of Dublin",Ireland,67.0,51+,57.9,51+,90.6,24,79.6,32=,,,
51-100,101-140,UCL,United Kingdom,60.8,51+,69.8,36=,86.8,40,81.5,24=,,,
51-100,51-100,Università Cattolica del Sacro Cuore,Italy,68.4,51+,66.8,47,70.2,51+,40.8,51+,,,
51-100,51-100,Universität Hamburg,Germany,66.7,51+,45.1,51+,80.3,51+,70.5,51+,,,
51-100,51-100,Université de Strasbourg,France,59.2,51+,67.8,43,80.4,51+,64.6,51+,,,
51-100,51-100,Université PSL,France,66.1,51+,51.8,51+,64.3,51+,67.7,51+,,,
51-100,101-140,Universiti Kebangsaan Malaysia (UKM),Malaysia,61.9,51+,57.5,51+,74.1,51+,61.1,51+,,,
51-100,=43,Universiti Malaya (UM),Malaysia,66.6,51+,66.9,46,85.0,51+,77.6,42=,,,
51-100,51-100,University of Amsterdam,Netherlands,62.2,51+,49.1,51+,90.8,23,79.6,32=,,,
51-100,51-100,University of British Columbia,Canada,67.0,51+,64.6,51+,90.3,25=,77.6,42=,,,
51-100,51-100,"University of California, Los Angeles (UCLA)",United States of America,60.5,51+,85.2,10,82.7,51+,73.1,51+,,,
51-100,51-100,"University of California, Santa Barbara (UCSB)",United States of America,66.5,51+,49.0,51+,92.8,15=,77.6,42=,,,
